Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0014113911665,"Pistache, grillee",Allemagne,,51.165691,10.451526,8.0,35.41202142156308,Wonderfull,Non
0014113912860,"Pistache, grillee",Allemagne,,51.165691,10.451526,13.0,35.41202142156308,Wonderful,Non
0020685000935,"Chips de pommes de terre, standard",Royaume Uni,,55.378051,-3.435973,15.0,60.33160763838434,Cape Cod,Non
0136406000174,Chips de legumes,Royaume Uni,,55.378051,-3.435973,16.0,,Crousti Croc,Non
03396111362012,"Chips de pommes de terre, standard",France,,,,14.0,84.61673933269999,Sibell,Non
20004071,"Cacahuete, grillee",France,Centre-Val de Loire,47.84133,1.9326591,6.0,39.760061417132576,PFIFF,Non
20077310,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,10.0,60.33160763838434,Crusti croc,Non
20077327,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,15.0,60.33160763838434,Crusti Croc,Non
20080990,"Chips de pommes de terre, standard",France,,,,11.0,60.33160763838434,Pfiff,Non
20151140,Chips de mais ou tortilla chips,Belgique,,50.503887,4.469936,11.0,60.33160763838434,"Vitasia,Vitasia China",Non
20208887,Chips de mais ou tortilla chips,Belgique,,50.503887,4.469936,13.0,60.33160763838434,Crousti croc,Non
20267698,Cacahuete ou Arachide,Pays Bas,,52.132633,5.291266,3.0,39.760061417132576,Alesto,Non
20338046,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,17.0,60.33160763838434,Crusti Croc,Non
20435455,"Noix de cajou, grillee, salee",Allemagne,,51.165691,10.451526,6.0,15.388630592344697,Belbake,Non
20491321,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,16.0,60.33160763838434,Sol & Mar,Non
20589738,Cacahuete ou Arachide,Allemagne,,51.165691,10.451526,6.0,29.760061417132576,Alesto,Non
20638658,"Chips de pommes de terre, standard",France,,,,10.0,84.61673933269999,Crusti Croc,Non
20638672,"Chips de pommes de terre, standard",France,,,,14.0,84.61673933269999,Crusti Croc,Non
20638696,Chips de crevette,France,,,,17.0,51.378850460289044,"Crusti Croc,Lidl",Non
20638702,"Chips de pommes de terre, standard",France,,,,14.0,60.33160763838434,Crusti Croc,Non
20758073,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,15.0,60.33160763838434,1001 Delights,Non
20871840,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,15.0,62.38160763838434,Eridanous,Non
20871857,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,14.0,60.33160763838434,Eridanous,Non
20871864,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,15.0,62.38160763838434,Eridanous,Non
20871871,"Chips de pommes de terre, standard",Allemagne,,51.165691,10.451526,13.0,60.33160763838434,Eridanous,Non
2600159139729,"Noix de cajou, grillee, salee",France,,,,10.0,25.388630592344697,Grand Frais,Non
2600299034632,"Noix de cajou, grillee, salee",France,,,,14.0,25.388630592344697,Grand Frais,Non
26018386,"Chips de pommes de terre, standard",France,,,,16.0,60.33160763838434,Hacienda del Sabor,Non
26018713,Chips de crevette,Allemagne,,51.165691,10.451526,19.0,51.378850460289044,Asia Green Garden,Non
26036083,"Cacahuete, grillee",France,,,,7.0,39.760061417132576,"Trader Joe's,Aldi Einkauf GmbH & Compagnie-oHG",Non
26036106,Chips de mais ou tortilla chips,Belgique,,50.503887,4.469936,11.0,60.33160763838434,Pirato,Non
26036311,"Chips de pommes de terre, standard",Belgique,,50.503887,4.469936,14.0,60.33160763838434,Pirato,Non
26036472,"Chips de pommes de terre, standard",France,Bretagne,48.1173421,-1.7075198,13.0,60.33160763838434,"Pirato,Aldi Einkauf GmbH & Compagnie-oHG",Non
26049083,"Chips de pommes de terre, standard",Belgique,,50.503887,4.469936,13.0,62.38160763838434,"Pirato,Aldi Einkauf GmbH & Compagnie-oHG",Non
26061436,Cacahuete ou Arachide,Allemagne,,51.165691,10.451526,7.0,39.760061417132576,Trader Joe ´s,Non
30140783,"Pistache, grillee",France,,,,6.0,35.41202142156308,"Menguy's,menguy's",Non
