Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0000007730009,Sable patissier,France,Normandie,49.433968799999995,1.0775888,,57.49558888828483,St Michel,Non
001664,"Biscuit sec chocolate, preemballe",France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,24.0,40.52935814373322,Bijou,Non
0039047001176,Sable patissier,Royaume Uni,,55.378051,-3.435973,,48.37058888828483,Walkers,Non
0039047015692,Sable patissier,Royaume Uni,,55.378051,-3.435973,22.0,48.37058888828483,Walkers,Non
0039047018518,Sable patissier,Royaume Uni,,55.378051,-3.435973,22.0,48.37058888828483,Walkers,Non
00400114,Sable patissier,France,Bretagne,48.1173421,-1.7075198,27.0,48.37058888828483,"menou,Jacques Menou",Non
0059749952903,"Biscuit sec chocolate, preemballe",Canada,,56.130366,-106.346771,21.0,30.52935814373322,Selection,Non
0077330566223,"Biscuit sec chocolate, preemballe",Danemark,,56.26392,9.501785,21.0,39.65435814373322,Royal Dansk,Non
00917025,Sable patissier,Royaume Uni,,55.378051,-3.435973,24.0,38.37058888828483,Marks & Spencer,Non
01708554,Cookie aux pepites de chocolat,France,,,,28.0,37.77731510771237,sondey,Non
0652655000159,Sable patissier,Royaume Uni,,55.378051,-3.435973,23.0,38.37058888828483,Border Biscuits,Non
0652655000890,Sable patissier,Royaume Uni,,55.378051,-3.435973,15.0,38.37058888828483,"Border,Border Biscuits",Non
0654479009608,Sable patissier,France,Bretagne,48.1173421,-1.7075198,25.0,48.37058888828483,Delaunay Léveillé,Non
0654479010499,Sable patissier,France,Bretagne,48.1173421,-1.7075198,25.0,48.37058888828483,Delaunay Léveillé,Non
0654479773127,"Biscuit sec chocolate, preemballe",France,,,,26.0,58.74320691446996,Delaunay Leveillé,Non
0655762001125,Sable patissier,Royaume Uni,,55.378051,-3.435973,21.0,38.37058888828483,,Non
0660989030698,"Biscuit sec chocolate, preemballe",France,,,,21.0,30.52935814373322,Qilibri,Non
0660989030827,"Biscuit sec chocolate, preemballe",France,,,,13.0,49.65435814373322,Qilibri,Non
07416996,Biscuit sec petit beurre,France,,,,20.0,65.73929757327915,Lu,Non
15191700,"Biscuit sec chocolate, preemballe",Royaume Uni,,55.378051,-3.435973,26.0,51.64948154969743,BN P'TIT DEJ,Non
16829480,Biscuit sec petit beurre au chocolat,France,,,,18.0,40.52935814373322,bioshok,Non
17587527,"Biscuit sec chocolate, preemballe",France,,,,,40.52935814373322,Lu,Non
2000000000094,"Biscuit sec feuillete, type palmier ou autres",Suisse,,46.818188,8.227512,23.0,49.923520651863015,Picard,Non
2000000002243,Sable patissier,France,Bretagne,48.1173421,-1.7075198,,48.37058888828483,"Sans marque,Pâtisseries Gourmandes",Non
2000000017785,Biscuit sec petit beurre,France,Bretagne,48.1173421,-1.7075198,24.0,56.614297573279146,Bretagne Specialités,Non
2000000039770,Sable patissier,France,,,,25.0,48.37058888828483,La Biscuiterie du Léon,Non
2000000039841,"Biscuit sec chocolate, preemballe",Allemagne,,51.165691,10.451526,23.0,50.52935814373322,Sondey,Non
2000000043720,Biscuit sec petit beurre,France,Bretagne,48.1173421,-1.7075198,22.0,56.614297573279146,Ker Cadélac,Non
2000000052047,Sable patissier,France,Centre-Val de Loire,47.84133,1.9326591,23.0,57.49558888828483,Biscuiterie de Chambord,Non
2000000058480,Sable patissier,France,Bretagne,48.1173421,-1.7075198,,48.37058888828483,Biscuits & Co,Non
2000000058741,Cookie aux pepites de chocolat,France,Pays de la Loire,47.2482829,-1.5439361,,47.77731510771237,"McCafé,Monbana",Non
2000000061807,Sable patissier,France,Bretagne,48.1173421,-1.7075198,,55.920588888284826,"Biscuiterie Délices de Pont-Aven,Biscuiterie Penven,Isidore Penven",Non
2000000215105,Sable patissier,France,Bretagne,48.1173421,-1.7075198,24.0,48.37058888828483,Bretagne  spécialités,Non
20022297,Cookie aux pepites de chocolat,France,,,,28.0,37.77731510771237,Sondey,Non
20082986,"Biscuit sec chocolate, preemballe",France,,,,12.0,40.52935814373322,"Sondey,Lidl",Non
20093709,Sable patissier,France,,,,26.0,56.49558888828483,Sondey,Non
20114343,"Biscuit sec chocolate, preemballe",France,,,,22.0,40.52935814373322,St Michel,Non
20126278,Cookie aux pepites de chocolat,France,,,,25.0,37.77731510771237,Entdecke America,Non
20127541,Biscuit sec petit beurre au chocolat,France,,,,22.0,49.65435814373322,Delicia,Non
20136338,"Biscuit sec chocolate, preemballe",Suisse,,46.818188,8.227512,25.0,39.65435814373322,"Catago,Sondey,Lidl",Non
20136369,"Biscuit sec chocolate, preemballe",Suisse,,46.818188,8.227512,26.0,30.52935814373322,Catago,Non
20143824,"Biscuit sec chocolate, preemballe",Allemagne,,51.165691,10.451526,15.0,50.52935814373322,Sondey,Non
20156060,"Biscuit sec chocolate, preemballe",Allemagne,,51.165691,10.451526,21.0,45.52935814373322,Bio Sonne,Non
20166168,"Biscuit sec feuillete, type palmier ou autres",Italie,,41.87194,12.56738,23.0,39.923520651863015,Italiamo,Non
20302993,Sable patissier,Allemagne,,51.165691,10.451526,22.0,56.70058888828483,Sondey,Non
20381523,"Biscuit sec chocolate, preemballe",France,,,,19.0,49.65435814373322,Sondey,Non
20396145,"Biscuit sec feuillete, type palmier ou autres",France,,,,26.0,39.923520651863015,Sondey,Non
20452711,"Biscuit sec chocolate, preemballe",Pays Bas,,52.132633,5.291266,26.0,30.52935814373322,Grandino,Non
20459079,"Sable aux fruits (pomme, fruits rouges, etc.)",France,Normandie,49.433968799999995,1.0775888,24.0,77.64845243318808,Saveurs de nos régions,Non
20594442,Sable patissier,France,Normandie,49.433968799999995,1.0775888,24.0,56.49558888828483,Saveurs de nos régions,Non
20619466,"Biscuit sec chocolate, preemballe",Italie,,41.87194,12.56738,23.0,30.52935814373322,"Italiamo,Lidl",Non
20620981,Sable patissier,France,,,,25.0,48.37058888828483,"Sondey,Lidl",Non
20620998,Sable a la noix de coco,France,,,,24.0,51.78561505168328,"Sondey,LIDL",Non
20624088,"Biscuit sec chocolate, preemballe",Italie,,41.87194,12.56738,25.0,50.52935814373322,Vemondo,Non
20713614,"Biscuit sec chocolate, preemballe",France,,,,20.0,54.65435814373322,sondey,Non
20713621,Cookie aux pepites de chocolat,France,,,,19.0,52.77731510771237,Sondey,Non
20713645,"Biscuit sec chocolate, preemballe",France,Normandie,49.433968799999995,1.0775888,18.0,45.52935814373322,Sondey,Non
2080350120052,Sable patissier,France,,,,21.0,48.37058888828483,Euro Disney France,Non
2080350160027,Sable patissier,France,,,,21.0,48.37058888828483,Disney,Non
20842772,Sable patissier,France,Hauts-de-France,50.6144068,3.1180785,19.0,48.37058888828483,Sans marque,Non
20847821,"Biscuit sec chocolate, preemballe",France,,,,25.0,40.52935814373322,Sondey,Non
20857028,"Biscuit sec chocolate, preemballe",France,,,,15.0,40.52935814373322,Sondey,Non
20857059,Cookie aux pepites de chocolat,France,,,,26.0,37.77731510771237,Sondey,Non
20996208,"Biscuit sec chocolate, preemballe",Allemagne,,51.165691,10.451526,23.0,30.52935814373322,sondey,Non
21057667,Sable patissier,France,,,,22.0,48.37058888828483,La Mère Poulard,Non
23048034,"Biscuit sec chocolate, preemballe",Belgique,,50.503887,4.469936,21.0,40.52935814373322,Scholetta,Non
26022062,Sable patissier,France,,,,24.0,38.37058888828483,Lagona,Non
26026275,Sable a la noix de coco,France,Occitanie,43.60402020000001,1.4773114,20.0,41.78561505168328,"mes P'tits secrets,Biscuits POULT",Non
26035178,Sable patissier,France,Bretagne,48.1173421,-1.7075198,25.0,48.37058888828483,Kergrist,Non
26035468,Sable patissier,France,Bretagne,48.1173421,-1.7075198,25.0,48.37058888828483,Kergrist,Non
26035475,"Biscuit sec feuillete, type palmier ou autres",France,,,,26.0,39.923520651863015,Mes P'tits Secrets,Non
26035895,Biscuit sec petit beurre au chocolat,Allemagne,,51.165691,10.451526,24.0,50.52935814373322,"Mes P'tits Secrets,Coverna",Non
26035932,"Biscuit sec chocolate, preemballe",France,,,,24.0,50.52935814373322,Les Malins Plaisirs,Non
26037066,"Biscuit sec chocolate, preemballe",Allemagne,,51.165691,10.451526,25.0,45.52935814373322,Mes P'tits Secrets,Non
26037332,"Biscuit sec chocolate, preemballe",Pays Bas,,52.132633,5.291266,27.0,30.52935814373322,Arizona,Non
