Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
02194110,"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et mineraux",France,Pays de la Loire,47.2482829,-1.5439361,9.0,108.65761139543848,Joseph Favrichon,Non
06548766,Muesli floconneux ou de type traditionnel,France,,,,2.0,69.37247970112283,Terres et céréales bio,Non
2000000020530,Muesli floconneux ou de type traditionnel,France,Île-de-France,48.8585799,2.2847017000000003,,93.65761139543848,Thank You My Deer,Non
2000000032518,Muesli floconneux ou de type traditionnel,Allemagne,,51.165691,10.451526,11.0,69.37247970112283,Travellunch,Non
2000000058327,Muesli floconneux ou de type traditionnel,France,Pays de la Loire,47.2482829,-1.5439361,,69.37247970112283,Food' Cru,Non
2000000098942,Muesli floconneux ou de type traditionnel,France,Île-de-France,48.8585799,2.2847017000000003,7.0,69.37247970112283,Mange tes graines,Non
2020187,"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et mineraux",Belgique,,50.503887,4.469936,10.0,78.49747970112283,Master Crumble,Non
20621476,Muesli floconneux ou de type traditionnel,Allemagne,,51.165691,10.451526,8.0,69.37247970112283,Crownfield,Non
26017341,"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et mineraux",Allemagne,,51.165691,10.451526,14.0,84.37247970112283,ALDI Bon et Bio,Non
26019093,"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et mineraux",Allemagne,,51.165691,10.451526,15.0,69.37247970112283,"Golden Bridge,Aldi",Non
26019734,Muesli floconneux ou de type traditionnel,Belgique,,50.503887,4.469936,13.0,88.91229110484808,"Golden Bridge,Aldi",Non
2607345,Muesli floconneux ou de type traditionnel,Allemagne,,51.165691,10.451526,,79.37247970112283,simplement Bon et Bio,Non
26077345,Muesli floconneux ou de type traditionnel,Allemagne,,51.165691,10.451526,12.0,84.37247970112283,Bon Et Bio,Non
