Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0043647325013,Confiture de fraise (extra ou classique),Royaume Uni,,55.378051,-3.435973,12.0,43.60208084806558,"Tiptree,Wilkin & Sons Ltd.,Wilkin & Sons",Non
0623994007536,Confiture de framboise (extra ou classique),Canada,,56.130366,-106.346771,1.0,50.830374734096225,La fraisonnée,Non
0637913448010,Confiture de fraise (extra ou classique),France,Corse,41.9961268,8.8142264,10.0,55.74464669522341,O Ma! Gourmandise(s),Non
07878886,Pate a tartiner chocolat et noisette,France,Corse,41.9961268,8.8142264,27.0,35.144612556465745,"Nucellina,Florence Marsili",Non
08475226,Confiture de fraise (extra ou classique),France,,,,5.0,51.65208084806558,la vie claire,Non
08775616,Confiture de fraise (extra ou classique),France,Provence-Alpes-Côte d'Azur,43.305868,5.4018087,7.0,66.65208084806558,les comtes de provence,Non
09165746,Pate a tartiner chocolat et noisette,France,Corse,41.9961268,8.8142264,27.0,58.19461255646574,Florence Marsili,Non
11740623,Confiture de fraise (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,8.0,51.65208084806558,valade,Non
12585223,Confiture de fraise (extra ou classique),France,Corse,41.9961268,8.8142264,12.0,51.65208084806558,Charles Antona,Non
17595063,Confiture de fraise (extra ou classique),France,,,,8.0,51.65208084806558,Eric Bur,Non
18616996,Pate a tartiner chocolat et noisette,Italie,,41.87194,12.56738,,58.19461255646574,Damiano,Non
2000000002132,Confiture de cerise (extra ou classique),France,,,,4.0,68.3847790003001,"Confitures de Josette,Le Verger de la Roche des Carmes",Non
2000000022827,Confiture de fraise (extra ou classique),France,,,,,51.65208084806558,Péchés Gourmands,Non
2000000022828,Confiture de cerise (extra ou classique),France,,,,,52.149647305984445,Péchés Gourmands,Non
2000000026069,Confiture de fraise (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,,51.65208084806558,Favols,Non
2000000028258,Confiture de fraise (extra ou classique),France,,,,,51.65208084806558,Le Temps d'Une Gourmandise,Non
2000000031209,Confiture d'abricot (extra ou classique),France,,,,,99.02302087632587,bonne maman,Non
2000000031811,Confiture de fraise (extra ou classique),France,,,,,43.60208084806558,Patricia Le Gall,Non
2000000039748,Confiture d'abricot (extra ou classique),France,,,,,66.68788918201022,St Mamet,Non
2000000040815,Confiture de fraise (extra ou classique),France,,,,,43.60208084806558,St Mamet,Non
2000000042586,Confiture d'abricot (extra ou classique),France,,,,13.0,66.68788918201022,St Mamet,Non
2000000052703,Confiture de fraise (extra ou classique),Italie,,41.87194,12.56738,6.0,43.60208084806558,Menz Gasser,Non
2000000058479,Confiture d'abricot (extra ou classique),France,Bretagne,48.1173421,-1.7075198,,66.68788918201022,Musée du Cidre,Non
2000000082757,Pate a tartiner chocolat et noisette,France,Occitanie,43.60402020000001,1.4773114,16.0,58.19461255646574,Hoope,Non
2000000111331,Pate a tartiner 600g Destination,France,,,,12.0,,Destination,Non
2000000112277,Confiture de framboise (extra ou classique),France,Pays de la Loire,47.2482829,-1.5439361,4.0,83.16550642841187,La Fraiseraie,Non
20000837,Confiture d'abricot (extra ou classique),Allemagne,,51.165691,10.451526,11.0,92.06437785093638,Maribel,Non
20006136,Confiture d'abricot (extra ou classique),France,,,,7.0,81.68788918201022,"Lydie Bio,Le jardin de Lydie",Non
20012106,Confiture de fraise (extra ou classique),Allemagne,,51.165691,10.451526,6.0,43.60208084806558,"Maribel,Aldi",Non
2006050010493,Pate a tartiner chocolat - caramel,France,,,,33.0,,TRADER JOE'S,Non
20266943,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,23.0,43.19461255646574,Deluxe,Non
20361341,Confiture de fraise (extra ou classique),France,,,,6.0,43.60208084806558,lidl,Non
20554729,Pate a tartiner chocolat et noisette,Italie,,41.87194,12.56738,18.0,45.144612556465745,Choco Nussa,Non
20562663,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,24.0,35.144612556465745,Vemondo,Non
20593384,Confiture de fraise (extra ou classique),France,,,,10.0,43.60208084806558,Vale,Non
20884796,Confiture de framboise (extra ou classique),Allemagne,,51.165691,10.451526,9.0,50.830374734096225,"Maribel,Lidl",Non
26027913,Confiture d'abricot (extra ou classique),France,,,,11.0,74.73788918201022,"pays gourmand,Lucie Savor",Non
26034270,Confiture de fraise (extra ou classique),France,,,,12.0,51.65208084806558,Bon Et Bio,Non
27114667,Confiture de fraise (extra ou classique),France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,12.0,75.93721254238123,finabeil,Non
2760351722751,Confiture d'abricot (extra ou classique),France,,,,12.0,89.73788918201022,Paysans d'ici,Non
3021761010388,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",Pays Bas,,52.132633,5.291266,8.0,51.65208084806558,Materne,Non
3021761140382,Confiture de fraise (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,43.60208084806558,Materne,Non
3021761460381,Confiture d'abricot (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,72.73788918201022,Materne,Non
3021762380138,Confiture d'abricot (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,72.73788918201022,Materne,Non
3021762380350,Confiture de framboise (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,58.88037473409622,Materne,Non
3021762383214,Confiture de fraise (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,49.65208084806558,Materne,Non
3021762383276,Confiture d'abricot (extra ou classique),Pays Bas,,52.132633,5.291266,6.0,72.73788918201022,Materne,Non
3021762383283,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",Pays Bas,,52.132633,5.291266,5.0,49.65208084806558,Materne,Non
3021762383290,Confiture de fraise (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,71.85073619876573,Materne,Non
3021762383344,Confiture de framboise (extra ou classique),Pays Bas,,52.132633,5.291266,8.0,71.02903008479637,Materne,Non
3043936010603,Pate a tartiner chocolat et noisette,France,,,,17.0,59.4297442507814,Régilait,Non
3045320000481,Confiture de fraise (extra ou classique),France,,,,11.0,43.60208084806558,Andros,Non
3045320000498,Confiture d'abricot (extra ou classique),France,,,,12.0,72.73788918201022,Andros,Non
3045320001532,Confiture d'abricot (extra ou classique),France,,,,11.0,72.73788918201022,Bonne Maman,Non
3045320001549,Confiture d'abricot (extra ou classique),France,,,,11.0,72.73788918201022,Bonne Maman,Non
3045320001563,Confiture d'abricot (extra ou classique),France,,,,11.0,66.68788918201022,Bonne Maman,Non
3045320001587,Confiture de fraise (extra ou classique),France,,,,11.0,49.65208084806558,Bonne Maman,Non
3045320001594,Confiture d'abricot (extra ou classique),France,,,,11.0,72.73788918201022,Bonne Maman,Non
3045320001655,Confiture de fraise (extra ou classique),France,,,,10.0,49.65208084806558,Bonne Maman,Non
3045320001679,Confiture de fraise (extra ou classique),France,,,,11.0,43.60208084806558,Bonne Maman,Non
3045320001686,Confiture de fraise (extra ou classique),France,,,,11.0,49.65208084806558,Bonne Maman,Non
3045320001693,Confiture de fraise (extra ou classique),France,,,,11.0,49.65208084806558,Bonne Maman,Non
3045320001716,Confiture de fraise (extra ou classique),France,,,,11.0,49.65208084806558,Bonne Maman,Non
3045320007190,Confiture de fraise (extra ou classique),France,,,,11.0,43.60208084806558,Bonne maman,Non
3045320008395,Confiture de cerise (extra ou classique),France,,,,8.0,50.149647305984445,Andros,Non
3045320008524,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,8.0,51.65208084806558,Andros,Non
3045320013542,Confiture de fraise (extra ou classique),France,,,,6.0,43.60208084806558,Andros,Non
3045320072518,Confiture de framboise (extra ou classique),France,,,,6.0,54.930374734096226,Andros,Non
3045320082074,Confiture de fraise (extra ou classique),France,,,,11.0,51.65208084806558,Bonne Maman,Non
3045320097337,Confiture de lait,France,,,,18.0,70.78460573696235,Bonne Maman,Non
3050040000000,Confiture de fraise (extra ou classique),France,,,,,43.60208084806558,Là Haut sur la Montagne,Non
3104544075047,Confiture de fraise (extra ou classique),France,,,,,51.6890297022727,Maison Montfort,Non
3144550006062,Confiture de fraise (extra ou classique),France,,,,10.0,51.65208084806558,Eric Bur,Non
3144550006239,Confiture de fraise (extra ou classique),France,,,,8.0,51.65208084806558,Eric Bur,Non
3144550008370,Confiture de fraise (extra ou classique),France,Île-de-France,48.8585799,2.2847017000000003,7.0,51.65208084806558,Eric Bur,Non
3144550008387,Confiture de fraise (extra ou classique),France,,,,12.0,51.65208084806558,Eric Bur,Non
3144550008455,Confiture d'abricot (extra ou classique),France,,,,11.0,74.73788918201022,Eric Fur,Non
3155250358719,Pate a tartiner chocolat et noisette,France,Bretagne,48.1173421,-1.7075198,20.0,35.144612556465745,Bridélice,Non
3174061036104,Confiture de fraise (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,7.0,50.338742748668345,Valade en Corrèze,Non
3174061036173,Confiture de fraise (extra ou classique),France,,,,11.0,51.65208084806558,Valade,Non
3174061037033,Confiture de framboise (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,9.0,50.830374734096225,Leonce blanc,Non
3174061037804,Confiture d'abricot (extra ou classique),France,,,,11.0,74.73788918201022,Léonce Blanc,Non
3174061050070,Confiture de fraise (extra ou classique),Italie,,41.87194,12.56738,10.0,66.65208084806558,"Valade,We Bio!",Non
3174061050087,Confiture de fraise (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,12.0,66.65208084806558,"Valade,We Bio !",Non
3174061050094,Confiture de cerise (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,10.0,67.14964730598444,"Valade,We Bio!",Non
3176630004262,Confiture de lait,France,Bretagne,48.1173421,-1.7075198,,72.78460573696235,Le bois Jumel,Non
3177710001119,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",Pays Bas,,52.132633,5.291266,4.0,51.65208084806558,"Vivis,Vivis Fructose,Ditriborg",Non
3183811089666,Confiture de framboise (extra ou classique),France,,,,12.0,58.88037473409622,Baptistin Féraud,Non
3222470105000,Confiture de fraise (extra ou classique),France,,,,11.0,65.61048144603915,"Guichard Perrachon,Casino",Non
3222471823040,Confiture de fraise (extra ou classique),France,,,,11.0,64.65208084806558,"Casino Bio,Casino",Non
3222472111368,Confiture de cerise (extra ou classique),France,,,,11.0,44.09964730598445,Casino,Oui
3222473037322,Confiture de fraise (extra ou classique),France,,,,10.0,51.65208084806558,Casino,Oui
3222473237968,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,20.0,43.19461255646574,"Casino Délices, Casino",Non
3222474701307,Confiture de fraise (extra ou classique),France,,,,11.0,51.65208084806558,Casino,Oui
3222475745867,Confiture de fraise (extra ou classique),France,,,,11.0,51.65208084806558,Casino Délices,Non
3222475960635,Confiture de framboise (extra ou classique),Belgique,,50.503887,4.469936,10.0,71.88037473409622,"Casino Bio, Casino",Non
3222476758712,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,17.0,35.144612556465745,Casino,Oui
3224498002085,Confiture de fraise (extra ou classique),France,Provence-Alpes-Côte d'Azur,43.305868,5.4018087,7.0,66.65208084806558,Les comtes de Provence,Non
3245310009979,Confiture de fraise (extra ou classique),France,,,,,51.65208084806558,Andresy confitures,Non
3245310025931,Confiture de fraise (extra ou classique),France,,,,,51.65208084806558,"Histoires d'A,Andrésy Confitures",Non
3245310026020,Confiture de cerise (extra ou classique),France,,,,,68.3847790003001,"Andrésy Confitures,Histoires d'A",Non
3245310065807,Confiture de fraise (extra ou classique),France,Île-de-France,48.8585799,2.2847017000000003,11.0,49.65208084806558,"Les petites parisiennes confiturieres,Andresy confitures",Non
3245310065890,Confiture de cerise (extra ou classique),France,Île-de-France,48.8585799,2.2847017000000003,11.0,65.14964730598444,"Les Petites Parisiennes,Les Petites Parisiennes Confiturières",Non
3245310065951,Confiture de fraise (extra ou classique),France,Île-de-France,48.8585799,2.2847017000000003,10.0,49.65208084806558,"Les petites parisiennes confiturières,Andrésy confitures",Non
3245310065968,Confiture d'abricot (extra ou classique),France,Île-de-France,48.8585799,2.2847017000000003,10.0,81.68788918201022,"Les petites parisiennes confiturieres,Andresy confitures",Non
3245310066385,Confiture de fraise (extra ou classique),France,Île-de-France,48.8585799,2.2847017000000003,11.0,73.93721254238123,"Les petites parisiennes confiturières,Andresy confitures",Non
3245310078739,Confiture de fraise (extra ou classique),France,,,,11.0,51.65208084806558,Gilbert,Non
3245390029744,Confiture d'abricot (extra ou classique),France,,,,9.0,99.02302087632587,"Reflets de France,Carrefour",Non
3245390029775,Confiture de fraise (extra ou classique),France,,,,11.0,71.38375034969705,Reflets de France,Non
3245390034830,Confiture d'abricot (extra ou classique),France,,,,12.0,99.02302087632587,Reflets de France,Non
3245390042996,Confiture d'abricot (extra ou classique),Espagne,,40.463667,-3.74922,7.0,74.73788918201022,Grand Jury,Non
3245390043009,Confiture de fraise (extra ou classique),Espagne,,40.463667,-3.74922,7.0,51.65208084806558,Grand Jury,Non
3245390054586,Confiture de fraise (extra ou classique),France,,,,9.0,75.93721254238123,Reflets de France,Non
3245390060709,Confiture de fraise (extra ou classique),France,,,,12.0,65.73745723076865,Reflets de France,Non
3245390075048,Confiture de lait,France,,,,15.0,72.78460573696235,"Reflets de France, Carrefour",Non
3245390131911,Confiture d'abricot (extra ou classique),France,,,,8.0,74.73788918201022,Grand Jury,Non
3245390132024,Confiture de fraise (extra ou classique),Espagne,,40.463667,-3.74922,12.0,51.65208084806558,Grand Jury,Non
3245390146519,Confiture d'abricot (extra ou classique),France,,,,19.0,83.8448135673786,Reflets de France,Non
3245390172174,Confiture de fraise (extra ou classique),France,,,,10.0,75.93721254238123,Reflets de France,Non
3248652786133,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,17.0,35.144612556465745,Monoprix,Oui
3250390000655,Confiture d'abricot (extra ou classique),France,,,,7.0,66.68788918201022,Paquito,Non
3250390111320,Confiture de fraise (extra ou classique),France,,,,12.0,51.65208084806558,Paquito,Non
3250390134701,Confiture de fraise (extra ou classique),France,,,,7.0,49.65208084806558,"Regain,Sélection des Mousquetaires,Les Mousquetaires",Non
3250390783374,Confiture de fraise (extra ou classique),France,,,,10.0,75.93721254238123,Itinéraire des Saveurs,Non
3250390860563,Pate a tartiner chocolat et noisette,Italie,,41.87194,12.56738,26.0,31.107112556465744,Netto,Non
3250391073528,Confiture d'abricot (extra ou classique),France,,,,9.0,74.73788918201022,Netto,Non
3250391073535,Confiture de framboise (extra ou classique),France,,,,9.0,58.88037473409622,Netto,Non
3250391098651,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,26.0,25.144612556465745,Netto,Non
3250391319084,Confiture d'abricot (extra ou classique),France,,,,11.0,87.73788918201022,"Intermarché,Paquito",Non
3250391337491,Confiture de fraise (extra ou classique),France,,,,12.0,49.65208084806558,"Intermarché,Elodie, Paquito",Non
3250391366347,Confiture de fraise (extra ou classique),France,,,,12.0,51.65208084806558,Netto,Non
3250391366378,Confiture d'abricot (extra ou classique),France,,,,8.0,74.73788918201022,Netto,Non
3250391375882,Confiture d'abricot (extra ou classique),France,,,,12.0,74.73788918201022,Netto,Non
3250391604104,Confiture de fraise (extra ou classique),France,,,,,49.65208084806558,Elodie,Non
3250391764396,Confiture d'abricot (extra ou classique),France,,,,10.0,72.73788918201022,"Itinéraire des saveurs,Intermarché",Non
3250391764426,Confiture de fraise (extra ou classique),France,,,,10.0,51.65208084806558,Itinéraire des saveurs,Non
3250391765003,Confiture d'abricot (extra ou classique),France,,,,10.0,90.97302087632588,"Itinéraire des Saveurs,Intermarché",Non
3250392208677,Confiture de lait,France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,21.0,83.61383348472295,"Elodie,Intermarché",Non
3250392325633,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,21.0,35.144612556465745,Ivoria,Non
3250392366940,Confiture de fraise (extra ou classique),France,,,,12.0,43.60208084806558,"Elodie,Intermarché",Non
3250392366971,Confiture de fraise (extra ou classique),France,,,,12.0,43.60208084806558,Élodie,Non
3250392404680,Pate A Tartiner,Canada,,56.130366,-106.346771,25.0,,Intermarché,Oui
3251140200110,Confiture de fraise (extra ou classique),France,,,,10.0,75.93721254238123,Fruits de nos régions,Non
3256220362344,Confiture de fraise (extra ou classique),France,,,,11.0,43.60208084806558,U,Oui
3256220362351,Confiture d'abricot (extra ou classique),France,,,,11.0,72.73788918201022,U,Oui
3256220851084,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,8.0,43.60208084806558,U,Oui
3256220851114,Confiture de fraise (extra ou classique),France,,,,8.0,43.60208084806558,U,Oui
3256221476187,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,8.0,43.60208084806558,U,Oui
3256224759515,Confiture de fraise (extra ou classique),France,,,,11.0,43.60208084806558,U,Oui
3256227086427,Confiture de fraise (extra ou classique),France,,,,3.0,49.702080848065584,U,Oui
3256477074908,Confiture de fraise (extra ou classique),France,Bretagne,48.1173421,-1.7075198,2.0,58.60208084806558,n! nature,Non
3257981799936,Confiture d'abricot (extra ou classique),France,,,,8.0,74.73788918201022,Cora,Non
3257981799943,Confiture de framboise (extra ou classique),France,,,,6.0,58.88037473409622,Cora,Non
3257981946224,Confiture de fraise (extra ou classique),France,,,,8.0,51.65208084806558,Cora,Non
3257981946231,Confiture d'abricot (extra ou classique),France,,,,8.0,74.73788918201022,Cora,Non
3257981946248,Confiture de fraise (extra ou classique),France,,,,9.0,51.65208084806558,Cora,Non
3257981946255,Confiture de cerise (extra ou classique),France,,,,8.0,52.149647305984445,Cora,Non
3257981946262,Confiture d'abricot (extra ou classique),France,,,,8.0,74.73788918201022,Cora,Non
3257981946279,Confiture de fraise (extra ou classique),France,,,,8.0,51.65208084806558,Cora,Non
3257983138955,Confiture de fraise (extra ou classique),France,,,,11.0,51.65208084806558,Cora,Non
3258561040523,Pate a tartiner chocolat et noisette,Italie,,41.87194,12.56738,25.0,33.19461255646574,Belle France,Non
3258561040547,Pate a tartiner chocolat et noisette,Italie,,41.87194,12.56738,25.0,33.19461255646574,Belle france,Non
3258561201030,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,5.0,49.65208084806558,Belle France,Non
3258561201221,Confiture de framboise (extra ou classique),France,,,,10.0,87.35369853530175,"Belle France,Le Réflexe Bio",Non
3258561201269,Confiture de fraise (extra ou classique),France,,,,6.0,58.60208084806558,"Belle France,Le Réflexe Bio",Non
3258561201351,Confiture d'abricot (extra ou classique),France,,,,11.0,72.73788918201022,Belle France,Non
3258561201399,Confiture de fraise (extra ou classique),France,,,,11.0,58.60208084806558,"Belle France,Le Reflexe Bio",Non
3258561201474,Confiture de fraise (extra ou classique),France,,,,12.0,49.65208084806558,Belle France,Non
3258563200475,Confiture d'abricot (extra ou classique),France,,,,8.0,99.02302087632587,"Les délices De Belle France,Belle France",Non
3258563200543,Confiture d'abricot (extra ou classique),France,,,,8.0,90.97302087632588,"Les Délices De Belle  France,Belle France",Non
3258590000963,Pate a tartiner chocolat et noisette,France,,,,19.0,50.144612556465745,Dardenne,Non
3259920064273,Confiture de fraise (extra ou classique),France,,,,12.0,43.60208084806558,Dammann Frères,Non
3260260212033,Confiture de fraise (extra ou classique),France,Bretagne,48.1173421,-1.7075198,8.0,67.88721254238123,Le Panier de Lucienne,Non
3263850572418,Confiture de fraise (extra ou classique),Belgique,,50.503887,4.469936,7.0,64.65208084806558,Franprix,Oui
3263851870193,Confiture de fraise (extra ou classique),France,,,,8.0,51.65208084806558,Leader Price,Non
3263851870292,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,7.0,51.65208084806558,Leader Price,Non
3263851920218,Confiture de fraise (extra ou classique),France,,,,11.0,75.93721254238123,leader price,Non
3263851927118,Confiture d'abricot (extra ou classique),France,,,,12.0,74.73788918201022,Leader Price,Non
3263851928214,Confiture d'abricot (extra ou classique),France,,,,,72.73788918201022,Leader Price,Non
3263852232112,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,23.0,41.19461255646574,leader price,Non
3263852232716,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,17.0,35.144612556465745,Franprix,Oui
3263852232815,Pate a tartiner chocolat et noisette,Allemagne,,51.165691,10.451526,18.0,35.144612556465745,"Franprix,Marché Franprix",Non
3264950140040,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,9.0,43.60208084806558,Abbaye de Sept-Fons,Non
3264950140071,Confiture de fraise (extra ou classique),France,,,,5.0,58.60208084806558,abbaye de sept fons,Non
3266191151076,Confiture de fraise (extra ou classique),France,,,,13.0,66.65208084806558,La Vie Claire,Non
3266191151168,Confiture de fraise (extra ou classique),France,,,,12.0,66.65208084806558,La Vie Claire,Non
3266191151397,Confiture de framboise (extra ou classique),France,,,,10.0,73.88037473409622,La Vie Claire,Non
3266191151410,Confiture de fraise (extra ou classique),France,,,,11.0,66.65208084806558,La Vie Claire,Non
3270020000268,Confiture de fraise (extra ou classique),France,Provence-Alpes-Côte d'Azur,43.305868,5.4018087,11.0,51.21208084806558,Vergers des Alpilles,Non
3270020000336,Confiture de fraise (extra ou classique),France,,,,10.0,49.65208084806558,"Vergers des Alpilles,Confit de Provence",Non
3270160809899,Confiture de fraise (extra ou classique),France,,,,10.0,43.60208084806558,Picard,Non
3270160850174,Confiture de fraise (extra ou classique),France,,,,10.0,51.65208084806558,"Picard,A l'heure de",Non
3270190007050,Confiture de fraise (extra ou classique),France,,,,10.0,51.65208084806558,Carrefour,Oui
3270190007074,Confiture de cerise (extra ou classique),Espagne,,40.463667,-3.74922,11.0,50.149647305984445,Carrefour,Oui
3270190007081,Confiture de fraise (extra ou classique),Espagne,,40.463667,-3.74922,12.0,51.65208084806558,Carrefour,Oui
3270190114895,Confiture d'abricot (extra ou classique),Espagne,,40.463667,-3.74922,11.0,72.73788918201022,Carrefour,Oui
3270190127512,Confiture de fraise (extra ou classique),France,,,,10.0,64.65208084806558,Carrefour Bio,Non
3270190127529,Confiture d'abricot (extra ou classique),France,,,,11.0,95.0547870525617,"Carrefour Bio,Carrefour",Non
3270190127536,Confiture de fraise (extra ou classique),France,,,,8.0,64.78592261437245,"Carrefour,carrefour bio",Non
3270190136842,Confiture de fraise (extra ou classique),France,,,,10.0,88.93721254238123,Carrefour Bio,Non
3270190194392,Confiture d'abricot (extra ou classique),Espagne,,40.463667,-3.74922,12.0,74.73788918201022,carrefour,Non
3270190194903,Confiture d'abricot (extra ou classique),France,,,,11.0,72.73788918201022,Carrefour,Oui
3270190194910,Confiture de fraise (extra ou classique),Espagne,,40.463667,-3.74922,12.0,49.65208084806558,Carrefour,Oui
3278930000149,Confiture de fraise (extra ou classique),France,,,,12.0,43.60208084806558,André Guépratte,Non
3278930000187,Confiture de fraise (extra ou classique),France,,,,12.0,51.65208084806558,André Guépratte,Non
3278930001528,Confiture de fraise (extra ou classique),France,Normandie,49.433968799999995,1.0775888,13.0,51.65208084806558,André Guépratte,Non
3281230002812,Confiture de cerise (extra ou classique),France,,,,11.0,44.09964730598445,"Sakari,Maison Petricorena,Cuisine des Basques",Non
3283875303309,Confiture de fraise (extra ou classique),France,,,,7.0,51.6971247461708,Thorem,Non
3288131114156,Confiture de fraise (extra ou classique),France,,,,6.0,66.65208084806558,Vitabio,Non
3288131114255,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,6.0,88.93721254238123,Vitabio,Non
3288131114439,Confiture de fraise (extra ou classique),France,,,,3.0,71.1950463474945,Vitabio,Non
3288131114446,Confiture de fraise (extra ou classique),France,,,,5.0,73.56288773073379,Vitabio,Non
3288131114514,Confiture de fraise (extra ou classique),France,,,,8.0,78.05107598667703,Vitabio,Non
3288132114506,Confiture de fraise (extra ou classique),France,,,,5.0,74.41340643036712,Vitabio,Non
3299430030108,Confiture d'abricot (extra ou classique),France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,7.0,89.73788918201022,Saveurs attitudes,Non
3299430034212,Confiture de fraise (extra ou classique),France,,,,10.0,76.36613352579184,Saveurs Attitudes,Non
3299430063403,Confiture de fraise (extra ou classique),France,,,,8.0,43.60208084806558,saveurs attitudes,Non
3299430064455,Confiture de fraise (extra ou classique),France,,,,5.0,58.60208084806558,Saveurs Attitudes,Non
3299430064752,Confiture de fraise (extra ou classique),France,,,,14.0,71.9589032799392,Saveurs Attitudes,Non
3299430067074,Confiture d'abricot (extra ou classique),France,,,,17.0,112.02302087632587,Saveurs Attitudes,Non
3299430067272,Confiture de fraise (extra ou classique),France,,,,7.0,51.65208084806558,Saveurs Attitudes,Non
3301595000169,Confiture de cerise (extra ou classique),France,Bretagne,48.1173421,-1.7075198,10.0,59.09964730598445,Planet Bio,Non
3301595000305,Confiture de fraise (extra ou classique),France,Bretagne,48.1173421,-1.7075198,10.0,58.60208084806558,Planet Bio,Non
3301595000404,Confiture de cerise (extra ou classique),France,,,,10.0,52.149647305984445,Côteaux Nantais,Non
3301595000695,Confiture de fraise (extra ou classique),France,,,,9.0,69.65208084806558,Côteaux Nantais,Non
3301595000862,Confiture de fraise (extra ou classique),France,Pays de la Loire,47.2482829,-1.5439361,0.0,64.65208084806558,Côteaux Nantais,Non
3301595001920,Confiture de fraise (extra ou classique),France,,,,9.0,66.65208084806558,Planet Bio,Non
3301595002026,Confiture de fraise (extra ou classique),France,,,,2.0,66.65208084806558,Coteaux Nantais,Non
3301596000205,Confiture de fraise (extra ou classique),France,Pays de la Loire,47.2482829,-1.5439361,,66.65208084806558,Côteaux Nantais,Non
3301596000373,Confiture de fraise (extra ou classique),France,Bretagne,48.1173421,-1.7075198,11.0,58.60208084806558,Planet Bio,Non
3307131301608,"Confiture, tout type de fruits, allegee en sucres (extra ou classique)",France,,,,4.0,64.65208084806558,"Jardin Bio,Léa Nature,Jardin Bio'",Non
3307131305002,Confiture d'abricot (extra ou classique),France,,,,9.0,87.73788918201022,Jardin Bio,Non
