Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0038900719678,"Peche au sirop leger, appertisee, non egouttee",Thailande,,15.870032,100.992541,-2.0,60.00764964968958,Dole,Non
2000000046610,"Abricot, denoyaute, sec",France,,,,-4.0,39.9103492928649,Carrefour,Oui
20241735,Oranges a jus,Espagne,,40.463667,-3.74922,3.0,,"Sans marque,Greenmed",Non
20365318,"Cerises bigarreaux, denoyautees en sirop",Allemagne,,51.165691,10.451526,-2.0,,Harvin,Non
26009575,"Pruneau, sec",France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,5.0,19.195753488968165,"Golden Fruit,maître prunelle sas sauvaud",Non
26043784,"Poireau, cru",Espagne,,40.463667,-3.74922,-6.0,85.61394262106897,Ecrin des champs,Non
3000057026647,"Poireau, cru",France,Hauts-de-France,50.6144068,3.1180785,,110.84907431538463,"Sans marque,Carpentier Arnaud",Non
3015497036002,Cerises Liqueur Chocolat Noir,France,,,,22.0,,Jacquot,Non
3080920100186,Peches avec jus naturel,France,,,,-4.0,,St Mamet,Non
3080920100193,Peches avec jus naturel,France,,,,-4.0,,St Mamet,Non
3080920100254,Poires Williams,France,,,,-3.0,,St Mamet,Non
3080920100261,Poires Williams,France,,,,-3.0,,St Mamet,Non
3080920100568,Framboises,France,,,,-4.0,,St Mamet,Non
3080920983550,"Poire au sirop leger, appertisee, non egouttee",France,,,,-3.0,75.70204920936364,St Mamet,Non
3080920983581,Poires Williams,France,,,,-3.0,,St Mamet,Non
3080920983635,"Peche au sirop leger, appertisee, non egouttee",France,,,,-4.0,60.00764964968958,St Mamet,Non
3080920983819,Peches avec jus naturel,France,,,,-4.0,,St Mamet,Non
3080920983840,Peches avec jus naturel,France,,,,-4.0,,St Mamet,Non
3080920983871,Poires williams,France,,,,-3.0,,St Mamet,Non
3080920983901,Poires Williams,France,,,,-3.0,,"Saint Mamet,St Mamet",Non
3080920989798,Poires BIO,France,,,,-4.0,,"saint mamet,St Mamet",Non
3080920989828,Poires bio,France,Centre-Val de Loire,47.84133,1.9326591,-4.0,,St Mamet,Non
3080920991371,Abricots bio,France,,,,-4.0,,St Mamet,Non
3111950800804,"Framboise, crue",France,,,,-6.0,58.90426143107159,Sabarot,Non
3164510385099,"Pruneau, sec",France,,,,1.0,52.60588518328382,Pruno Délice,Non
3164510479095,"Pruneau, sec",France,,,,-1.0,43.48088518328382,Pruno'Délice,Non
3164510858982,"Pruneau, sec",France,,,,,43.48088518328382,"Sans marque,UPF",Non
3180840008842,"Abricot, denoyaute, sec",France,,,,-2.0,39.9103492928649,Maître Prunille,Non
3215351380085,"Poireau, cru",France,,,,,109.89907431538462,Gillet Contres,Non
3222471003572,"Poire au sirop leger, appertisee, non egouttee",Italie,,41.87194,12.56738,-5.0,75.70204920936364,Casino,Oui
3222471013465,"Poire au sirop leger, appertisee, non egouttee",Italie,,41.87194,12.56738,-5.0,75.70204920936364,Casino,Oui
3242611000070,Orange,France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,1.0,,Eyguebelle,Non
3245411868130,Orangettes chocolat noir,France,,,,19.0,,Carrefour,Oui
3245412709371,"Poire au sirop leger, appertisee, non egouttee",France,,,,,75.70204920936364,Carrefour,Oui
3245412709661,"Poire au sirop leger, appertisee, non egouttee",France,,,,-4.0,75.70204920936364,Carrefour,Oui
3250390107545,"Poire au sirop leger, appertisee, non egouttee",Italie,,41.87194,12.56738,-3.0,75.70204920936364,Paquito,Non
3250391151219,"Pruneau, sec",France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,1.0,19.195753488968165,Netto,Non
3250391172184,"Poireau, surgele, cru",Belgique,,50.503887,4.469936,,72.48752742797147,Netto,Non
3250391435289,"Pruneau, sec",France,,,,2.0,43.48088518328382,Paquito,Non
3250391435388,"Pruneau, sec",France,,,,-3.0,43.48088518328382,Paquito,Non
3250391488339,"Pruneau, sec",France,,,,-1.0,19.195753488968165,Netto,Non
3250391988679,"Pruneau, sec",France,,,,1.0,43.48088518328382,"Itinéraire des Saveurs,Intermarché",Non
3250392464875,"Poireau, cru",France,,,,,116.84907431538463,"Intermarché Bio,Intermarché",Non
3254560207776,Oranges a jus,Espagne,,40.463667,-3.74922,-5.0,,Auchan,Oui
3256220029964,"Pruneau, sec",France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,0.0,43.48088518328382,U,Oui
3256223378816,Orangeade pulpee sanguine,France,,,,1.0,,U,Oui
3256223800218,"Pruneau, sec",France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,0.0,43.48088518328382,U,Oui
3256224372233,Orange Specialite a diluer,France,,,,20.0,,U,Oui
3257981685611,"Pruneau, sec",France,,,,-1.0,43.48088518328382,Cora,Non
3257985491799,"Pruneau, sec",France,,,,4.0,43.48088518328382,cora,Non
3263850000386,"Poireau, surgele, cru",Belgique,,50.503887,4.469936,-5.0,72.48752742797147,Leader Price,Non
3263850796616,"Abricot, denoyaute, sec",France,,,,-4.0,39.9103492928649,Leader Price,Non
3266191036007,"Pruneau, sec",France,,,,4.0,58.48088518328382,La Vie Claire,Non
3270160687954,Abricots en oreillons,France,,,,-5.0,,Picard,Non
3270160874378,"Poireau, surgele, cru",France,,,,-7.0,109.39999897699192,Picard,Non
3270190213512,"Prune, crue",France,Bourgogne-Franche-Comté,47.325183133641005,5.035672857142901,,91.37528308859481,Vieux Pointet,Non
3270720001503,"Abricot, denoyaute, sec",Turquie,,38.963745,35.243322,-2.0,33.13511407014218,Daco Bello,Non
3276550300328,"Framboise, crue",France,,,,,75.13939312538724,"Sans marque,Sicodis",Non
3276554975485,"Prune, crue",France,,,,,76.37528308859481,"Sans marque,Cancel Fruits",Non
3276558386706,"Framboise, crue",France,,,,,75.13939312538724,"Eifel,Les fruits rouges de l'Aisne",Non
