Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
00529570,"Jus multifruit, pur jus, multivitamine",Espagne,,40.463667,-3.74922,9.0,73.84479776846872,Marks & Spencer,Non
00816762,"Jus d'orange, maison",Royaume Uni,,55.378051,-3.435973,3.0,62.544546313688116,Marks&Spencer,Non
00988315,"Jus de pomme, pur jus",Pays Bas,,52.132633,5.291266,5.0,80.14016547336578,Marks & Spencer,Non
00993739,"Jus de pomme, pur jus",Royaume Uni,,55.378051,-3.435973,4.0,80.14016547336578,Marks & Spencer,Non
0222226260345,"Jus multifruit, pur jus, standard",France,,,,6.0,95.04479776846873,vitamont,Non
0250870023931,"Jus de pomme, pur jus",France,,,,4.0,103.19016547336578,U bio,Non
04142218,"Jus multifruit, pur jus, standard",Italie,,41.87194,12.56738,,73.84479776846872,"Pulco,Polenghi",Non
11016803,"Jus d'orange, maison",France,Île-de-France,48.8585799,2.2847017000000003,5.0,62.544546313688116,tropicana,Non
1200101466562,"Jus multifruit, pur jus, standard",Allemagne,,51.165691,10.451526,3.0,79.04672069723715,Ocean Spray,Non
12981702,"Jus multifruit, pur jus, standard",Turquie,,38.963745,35.243322,5.0,88.67003299119145,elite,Non
1301416092405,"Jus multifruit, pur jus, standard",France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,3.0,106.17992946278437,Au panier fermier,Non
17936859,"Jus de pomme, pur jus",France,Bretagne,48.1173421,-1.7075198,-3.0,104.42529716768144,plein fruit,Non
18149218,jus Multifruits,France,Grand Est,48.586321999999996,7.7170649000000004,4.0,,Trimm,Non
2000000017537,"Jus de pomme, pur jus",France,,,,5.0,104.26516547336578,Pressade,Non
2000000022177,"Jus d'orange, maison",Belgique,,50.503887,4.469936,2.0,62.544546313688116,Goldhorn,Non
2000000043066,"Jus de pomme, pur jus",France,,,,,95.14016547336578,Le p'tit Fausset,Non
2000000045785,"Jus de pomme, pur jus",France,,,,5.0,101.34016547336579,"McDonald's,Pressade",Non
2000000053463,"Jus de pomme, pur jus",France,Bretagne,48.1173421,-1.7075198,,103.19016547336578,"L'Arbre à Pommes, EARL Du Haut Plessis",Non
2000000069093,"Jus de pomme, pur jus",France,Nouvelle-Aquitaine,44.8350088,-0.5872689999999999,,80.14016547336578,Bordatto,Non
2000000070690,"Jus d'orange, maison",Espagne,,40.463667,-3.74922,3.0,85.53541116143384,Gilbert,Non
2000000112141,"Jus de pomme, pur jus",France,,,,5.0,112.47529716768143,Les Pomés,Non
2000003295081,"Jus multifruit, pur jus, multivitamine",France,,,,,106.17992946278437,Vaccari fruits,Non
2000700160927,"Jus multifruit, pur jus, standard",France,Grand Est,48.586321999999996,7.7170649000000004,,81.89479776846872,l'atelier de Clotilde,Non
20100124,"Jus d'orange, maison",France,Occitanie,43.60402020000001,1.4773114,,62.544546313688116,Leclerc,Non
2017000001737,"Jus de pomme, pur jus",France,,,,,112.47529716768143,arcaux,Non
20369866,"Jus multifruit, pur jus, standard",Allemagne,,51.165691,10.451526,6.0,73.84479776846872,"Solevita,vitafit",Non
20386451,"Jus de pomme, pur jus",Allemagne,,51.165691,10.451526,4.0,80.14016547336578,"Vitafit,Lidl",Non
20524746,"Jus multifruit, pur jus, standard",France,,,,6.0,73.84479776846872,Chef select to go,Non
20524753,"Jus multifruit, pur jus, standard",France,,,,10.0,73.84479776846872,Chef select to go,Non
20524760,"Jus multifruit, pur jus, standard",France,,,,1.0,73.84479776846872,Chef Select to go,Non
20646202,"Jus multifruit, pur jus, standard",Espagne,,40.463667,-3.74922,7.0,80.04479776846873,Sol&Mar,Non
20713539,"Jus de pomme, pur jus",France,,,,3.0,112.47529716768143,Saveurs de nos Régions,Non
20880507,"Jus multifruit, pur jus, standard",Espagne,,40.463667,-3.74922,10.0,73.84479776846872,Lidl,Oui
23281707,"Jus d'orange, maison",France,,,,6.0,87.08204631368811,paquito,Non
26001036,"Jus de pomme, pur jus",France,,,,4.0,80.14016547336578,FRUIMA,Non
26003580,"Jus multifruit, pur jus, standard",France,,,,2.0,82.96979776846872,Pur fruit,Non
26042145,"Jus multifruit, pur jus, standard",France,,,,4.0,73.84479776846872,"Fruima,Aldi",Non
26043852,"Jus multifruit, pur jus, standard",France,,,,7.0,73.84479776846872,"Pur Fruit Aldi,Pural,Pur fruits P'tit Déj",Non
3000012530004,"Jus multifruit, pur jus, standard",France,Guadeloupe,16.995971,-62.067641,2.0,73.84479776846872,,Non
3000072035297,"Jus de pomme, pur jus",France,Centre-Val de Loire,47.84133,1.9326591,,88.19016547336578,Les Vergers Launay,Non
3000072035334,"Jus de pomme, pur jus",France,Centre-Val de Loire,47.84133,1.9326591,,88.19016547336578,Les Vergers Launay,Non
3030400013000,"Jus de pomme, pur jus",France,Bretagne,48.1173421,-1.7075198,,88.19016547336578,La Cidrerie de Tromelin,Non
3030400013307,"Jus de pomme, pur jus",France,Bretagne,48.1173421,-1.7075198,,88.19016547336578,La Cidrerie de Tromelin,Non
3051800143234,"Jus d'orange, maison",Belgique,,50.503887,4.469936,2.0,71.66954631368812,Tropicana,Non
3051800804265,"Jus d'orange, maison",Belgique,,50.503887,4.469936,5.0,75.44506834210607,Tropicana,Non
3061435002899,Jus d'orange,France,,,,1.0,,Gusto debrio,Non
3092718623340,"Jus multifruit, pur jus, multivitamine",France,,,,-2.0,73.84479776846872,Fruit Shoot,Non
3100000027759,"Jus de pomme, pur jus",France,Grand Est,48.586321999999996,7.7170649000000004,5.0,80.14016547336578,Le fruitier,Non
3123340000046,"Jus d'orange, maison",France,,,,2.0,71.66954631368812,"Joker,Eckes Granini",Non
3123340001630,"Jus multifruit, pur jus, multivitamine",France,,,,4.0,82.96979776846872,Joker,Non
3123340003054,"Jus multifruit, pur jus, standard",France,,,,4.0,73.84479776846872,Joker,Non
3123340005966,"Jus multifruit, pur jus, standard",France,,,,4.0,73.84479776846872,Joker,Non
3123340008035,"Jus d'orange, maison",France,,,,2.0,63.86363230619979,Joker,Non
3123340008226,"Jus multifruit, pur jus, standard",France,,,,6.0,73.84479776846872,Joker,Non
3123340008493,"Jus de pomme, pur jus",France,,,,3.0,104.42529716768144,joker,Non
3123340008523,"Jus multifruit, pur jus, standard",France,,,,10.0,98.12992946278438,Joker,Non
3123340008646,"Jus multifruit, pur jus, standard",France,,,,6.0,73.84479776846872,Joker,Non
3123340009711,"Jus multifruit, pur jus, multivitamine",France,,,,4.0,82.96979776846872,Joker,Non
3123340010106,"Jus de pomme, pur jus",France,,,,3.0,80.14016547336578,Joker,Non
3123340444543,"Jus d'orange, maison",France,,,,3.0,62.544546313688116,Joker,Non
3123349011135,"Jus multifruit, pur jus, multivitamine",France,,,,4.0,73.84479776846872,Joker,Non
3123349011258,"Jus d'orange, maison",France,,,,2.0,71.66954631368812,Joker,Non
