Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0024000100201,"Tomate, puree, appertisee",Italie,,41.87194,12.56738,-1.0,114.47940035076924,Del Monte,Non
0024000100546,"Tomate, crue",Italie,,41.87194,12.56738,-1.0,93.73524252902293,Del Monte,Non
0024000100911,"Tomate, puree, appertisee",Italie,,41.87194,12.56738,,84.37731223709741,Del Monte,Non
0024000155430,"Tomate, crue",Italie,,41.87194,12.56738,-6.0,93.73524252902293,Del Monte,Non
0024000165002,"Tomate, crue",Italie,,41.87194,12.56738,-5.0,93.6331544153511,DelMonte,Non
0024000165057,"Tomate, pulpe, appertisee",Italie,,41.87194,12.56738,-5.0,103.03129194295447,Del Monte,Non
2000000069706,"Champignon, morille, crue",Hongrie,,47.162494,19.503304,-5.0,80.01977325227247,BONDUELLE,Non
2000000077618,"Tomate, concentre, appertise",France,,,,,101.0093722319791,€CO,Non
2000000119630,"Champignon, morille, crue",France,,,,-2.0,80.01977325227247,Picard,Non
20007687,"Tomate, concentre, appertise",Italie,,41.87194,12.56738,-2.0,76.72424053766345,Freshona,Non
20173371,"Carotte, surgelee, crue",France,Bretagne,48.1173421,-1.7075198,-5.0,100.71357523048769,Green Grocer's,Non
20180393,Carotte rape et celeri,France,,,,3.0,,Saladinettes,Non
20240028,"Tomate cerise, crue",Espagne,,40.463667,-3.74922,,119.62701829264263,Biotrend,Non
20261214,"Haricot vert, appertise, egoutte",Chine,,35.86166,104.195397,-2.0,69.38408762383673,Freshona,Non
20271947,"Carotte, crue",France,Occitanie,43.60402020000001,1.4773114,-6.0,105.29524014301626,côté marché,Non
20288006,Tomate farcie,France,,,,2.0,64.87362423497316,L'Étal du Boucher,Non
20437244,"Champignon, morille, crue",Chine,,35.86166,104.195397,-2.0,88.06977325227247,Freshona,Non
20440312,"Champignon, morille, crue",Allemagne,,51.165691,10.451526,-1.0,88.06977325227247,Deluxe,Non
20630485,"Champignon, morille, crue",Pays Bas,,52.132633,5.291266,-4.0,80.01977325227247,Freshona,Non
2237285016732,"Carotte, crue",France,,,,-2.0,105.29524014301626,Mix Buffet,Non
25316605,"Carotte, puree",Irlande,,53.41291,-8.24389,-4.0,75.07038164751147,Tasty,Non
26014395,Tomates Farcies et riz cuisine,France,Bretagne,48.1173421,-1.7075198,3.0,,"La cuisine des Saveurs,Aldi",Non
26020228,"Tomate, concentre, appertise",Italie,,41.87194,12.56738,1.0,76.72424053766345,delicato,Non
26043029,"Champignon, morille, crue",Espagne,,40.463667,-3.74922,-4.0,93.493097053478,Champaris,Non
26043258,"Tomate, puree, appertisee",Italie,,41.87194,12.56738,-2.0,81.65231223709742,Delicato,Non
26043265,"Tomate, crue",Italie,,41.87194,12.56738,-5.0,99.28524252902292,Delicato,Non
26043494,"Haricot vert, appertise, egoutte",France,,,,-4.0,61.33408762383674,"Fleurs des Champs,Aldi",Non
26043586,Haricots Blancs a la tomate,Pays Bas,,52.132633,5.291266,-4.0,,Fleurs des Champs,Non
26043715,"Epinard, appertise, egoutte",France,,,,-5.0,69.5934446085668,Fleurs des Champs,Non
26043975,"Champignon, morille, crue",Italie,,41.87194,12.56738,2.0,103.06977325227247,Ecrin des Champs,Non
26044804,Tomates concassees au basilic,Italie,,41.87194,12.56738,-3.0,,Delicato,Non
26044835,"Haricot mungo germe ou pousse de ""soja"", appertise, egoutte",Chine,,35.86166,104.195397,1.0,66.89660348164654,Asia Green Garden,Non
26061252,"Champignon, morille, crue",France,,,,,104.30490494658812,"Sans marque,FDG",Non
26062334,"Oignon, cru",France,,,,,113.9909327319351,La ferme d erquinvillers,Non
26075181,"Haricot vert, appertise, egoutte",France,Bretagne,48.1173421,-1.7075198,0.0,66.88408762383673,Fleurs des Champs,Non
26084374,"Champignon, morille, crue",France,,,,,104.30490494658812,Ferme de la Gontière,Non
2868001006432,"Carotte, crue",France,,,,0.0,81.0101084487006,cuisine et potager,Non
2868001006890,"Carotte, crue",France,,,,,81.0101084487006,Cuisine et Potager,Non
3000008041217,"Oignon, cru",France,,,,,89.70580103761945,Sans marque,Non
3000028037870,"Carotte, crue",France,Provence-Alpes-Côte d'Azur,43.305868,5.4018087,-5.0,105.29524014301626,"Ets DEMURE,SARL Ets GAS",Non
3000033024513,"Carotte, crue",France,,,,,110.29524014301626,La Tilquoise,Non
3000047038131,"Champignon, morille, crue",France,,,,-6.0,104.30490494658812,Ruol,Non
3000048047651,"Champignon, morille, crue",France,Hauts-de-France,50.6144068,3.1180785,-6.0,104.30490494658812,Ferme de la Gontière,Non
3000050038142,"Champignon, morille, crue",France,,,,,104.30490494658812,,Non
3000050047656,"Champignon, morille, crue",France,,,,,104.30490494658812,Ferme de la Gontière,Non
3000143047624,"Carotte, crue",France,,,,,105.29524014301626,Ferme de la Gohelle,Non
3014355300101,"Tomate cerise, crue",France,,,,,104.97128513921255,Savéol,Non
3017800002230,"Haricot vert, appertise, egoutte",France,Bretagne,48.1173421,-1.7075198,-6.0,85.61921931815239,d'aucy,Non
3017800007761,"Haricot flageolet, appertise, egouttes",France,Bretagne,48.1173421,-1.7075198,-10.0,95.48409804045026,d'aucy,Non
3017800022016,"Haricot beurre, appertise, egoutte",France,,,,-7.0,87.63352018248735,d'aucy,Non
3017800048221,"Haricot vert, appertise, egoutte",France,Bretagne,48.1173421,-1.7075198,-4.0,61.33408762383674,d'aucy,Non
3017800056189,"Haricot beurre, appertise, egoutte",France,,,,-7.0,87.63352018248735,Daucy,Non
3017800067031,"Haricot beurre, appertise, egoutte",France,,,,-7.0,87.63352018248735,D'Aucy,Non
3017800069493,"Haricot beurre, appertise, egoutte",France,Bretagne,48.1173421,-1.7075198,-7.0,87.63352018248735,d'aucy,Non
3017800078709,"Haricot vert, appertise, egoutte",France,,,,-4.0,85.61921931815239,D'Aucy,Non
3017800078778,"Epinard, appertise, egoutte",France,,,,-8.0,93.87857630288245,D'Aucy,Non
3017800078846,"Haricot vert, appertise, egoutte",France,,,,-4.0,61.33408762383674,D'Aucy,Non
3017800079447,"Haricot beurre, appertise, egoutte",France,,,,-4.0,87.63352018248735,D'Aucy,Non
3017800109328,"Mais doux, appertise, egoutte",France,,,,-7.0,86.45242156712162,D'aucy,Non
3017800109731,"Haricot vert, appertise, egoutte",France,Bretagne,48.1173421,-1.7075198,,61.33408762383674,d'aucy,Non
3017800118191,"Haricot flageolet, appertise, egouttes",France,Bretagne,48.1173421,-1.7075198,-3.0,71.19896634613461,Jean Nicolas,Non
3017800126578,"Haricot vert, appertise, egoutte",France,,,,-5.0,61.33408762383674,D'Aucy,Non
