Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0025110001525,Huile d'olive vierge extra,Italie,,41.87194,12.56738,6.0,49.53159434845085,Monini,Non
0319110413922,Huile d'olive vierge extra,France,,,,,65.7667260427665,Fan & Jicé,Non
0637913429156,Huile de colza,France,Hauts-de-France,50.6144068,3.1180785,,47.45016797675689,Perle du Gy,Non
0764549058679,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,64.47245919619658,villa blanca,Non
11972464,Huile d'olive vierge extra,Italie,,41.87194,12.56738,,41.481594348450855,florelli,Non
1760443090035,Huile d'olive vierge extra,France,Occitanie,43.60402020000001,1.4773114,,49.53159434845085,Château de Montfrin,Non
2000000091839,Huile d'olive vierge extra,Maroc,,31.791702,-7.09262,,60.41329015675916,Aïcha,Non
20189426,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,56.422459196196584,"Primadonna,Lidl",Non
2020100002320,Huile d'olive vierge extra,France,Provence-Alpes-Côte d'Azur,43.305868,5.4018087,,65.7667260427665,Moulin des Peyrouses,Non
2099401072028,Huile d'olive vierge extra,Italie,,41.87194,12.56738,6.0,79.63368246212268,Manor,Non
26033273,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,56.422459196196584,l'olivaé,Non
3002780000000,Huile de colza,France,,,,,79.78529967107254,"L'Or de Colza,EARL du Nortbert",Non
3052011004161,Huile de tournesol,France,,,,11.0,42.86513470623558,Netto,Non
3083620004198,Huile de colza,Belgique,,50.503887,4.469936,,47.45016797675689,SIF,Non
3155700001318,Huile de colza,France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,5.0,55.500167976756885,"Huilerie de Lapalisse,Lapalisse",Non
3217450004503,Huile d'olive vierge extra,Italie,,41.87194,12.56738,6.0,78.00491814965638,"Le jardin d'Orante,Marc Veyrat",Non
3222472824381,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,63.004918149656376,Casino,Oui
3222472824398,Huile d'olive vierge extra,Italie,,41.87194,12.56738,6.0,49.53159434845085,Casino,Oui
3245270001310,Huile d'olive vierge extra,France,,,,6.0,49.03159434845085,Huilerie Croix Verte,Non
3245390027481,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,63.004918149656376,Grand Jury,Non
3245390048110,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,63.004918149656376,Grand Jury,Non
3245390233998,Huile d'olive vierge extra,France,,,,6.0,73.8167260427665,"Reflets De France, Carrefour",Non
3245412849381,Huile de colza,France,Pays de la Loire,47.2482829,-1.5439361,5.0,47.45016797675689,Carrefour,Oui
3245413442000,Huile de colza,France,,,,5.0,62.45016797675689,"Carrefour, Carrefour BIO",Non
3250390139393,Huile de tournesol,France,,,,11.0,42.86513470623558,"Bouton d'Or,Sélection des Mousquetaires,Les Mousquetaires",Non
3250391332892,Huile d'olive vierge extra,France,,,,,64.53159434845085,"Regain Bio,Sélection des Mousquetaires,Les Mousquetaires",Non
3250391423378,Huile de tournesol,France,,,,11.0,42.86513470623558,Netto,Non
3250391594245,Huile d'olive vierge extra,Tunisie,,33.886917,9.537499,7.0,66.31267577411408,Bouton d'Or,Non
3250391781805,Huile de colza,France,,,,5.0,70.50016797675688,Bouton d'or,Non
3250391989836,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,56.422459196196584,Bouton d'Or,Non
3250392066499,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,63.004918149656376,"Bouton d'or,Intermarché",Non
3250392066529,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,49.53159434845085,Bouton d'Or,Non
3254560011397,Huile de tournesol,France,,,,11.0,42.86513470623558,Auchan,Oui
3256220280136,Huile d'olive vierge extra,France,,,,6.0,79.47245919619658,"U Bio, U",Non
3257980017710,Huile de tournesol,France,Pays de la Loire,47.2482829,-1.5439361,11.0,42.86513470623558,Cora,Non
3257980251947,Huile de tournesol,France,,,,11.0,65.91513470623558,Nature Bio,Non
3257980577016,Huile d'olive vierge extra,France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,6.0,49.53159434845085,Patrimoine gourmand,Non
3257980838933,Huile de colza,France,,,,5.0,47.45016797675689,Cora,Non
3257981029910,Huile d'olive vierge extra,France,Pays de la Loire,47.2482829,-1.5439361,6.0,56.422459196196584,Cora,Non
3258561170145,Huile d'olive vierge extra,France,,,,7.0,41.481594348450855,Belle France,Non
3258561170169,Huile d'olive vierge extra,France,,,,7.0,49.53159434845085,Belle France,Non
3261415100038,Huile d'olive vierge extra,France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,6.0,73.8167260427665,Nyons Olive,Non
3261415100052,Huile d'olive vierge extra,France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,6.0,49.53159434845085,NyonsOlive,Non
3263850023118,Huile de colza,Belgique,,50.503887,4.469936,5.0,47.45016797675689,Leader Price,Non
3263850027413,Huile d'olive vierge extra,Italie,,41.87194,12.56738,6.0,49.53159434845085,Franprix,Oui
3263850027512,Huile d'olive vierge extra,Italie,,41.87194,12.56738,6.0,49.53159434845085,Franprix,Oui
3263850028298,Huile d'olive vierge extra,Portugal,,39.399872,-8.224454,6.0,54.95491814965638,Le Prix gagnant !,Non
3265471029074,Huile de tournesol,France,,,,11.0,67.15026640055123,Lesieur,Non
3265472457005,Huile de tournesol,France,,,,11.0,67.15026640055123,Lesieur,Non
3265474015005,Huile de tournesol,France,,,,11.0,67.15026640055123,"Lesieur,Groupe Avril",Non
3265474986008,Huile de colza,France,,,,,71.73529967107254,,Non
3265475305006,Huile de tournesol,France,,,,11.0,67.15026640055123,Lesieur,Non
3265477535005,Huile d'olive vierge extra,France,,,,6.0,54.95491814965638,Majolie,Non
3266191010458,Huile de tournesol,France,,,,11.0,82.15026640055123,La Vie Claire,Non
3270190118800,Huile de tournesol,Belgique,,50.503887,4.469936,11.0,62.40494610996083,Carrefour,Oui
3270190128472,Huile de tournesol,France,,,,11.0,65.91513470623558,Carrefour Bio,Non
3281717000058,Huile d'olive vierge extra,Espagne,,40.463667,-3.74922,6.0,56.422459196196584,Huilerie GID,Non
3291960009272,Huile d'olive vierge extra,France,,,,6.0,88.8167260427665,Émile Noël,Non
3291960010469,Huile d'olive vierge extra,France,,,,6.0,69.95491814965638,Emile NOEL,Non
3300147100439,Huile d'olive a la Truffe du Perigord,France,,,,6.0,,A L'Olivier,Non
3324234363005,Huile de colza,France,,,,5.0,79.78529967107254,huilerie de neuville,Non
3330140800022,Huile d'olive vierge extra,France,,,,6.0,88.8167260427665,À l'Olivier,Non
3330146300458,Huile d'Olive a l'Ail Rose de Lautrec,France,,,,16.0,,À l'Olivier,Non
3330146300496,Huile d'olive vierge extra 94% citron de menton,France,,,,5.0,,A l olivier,Non
3330149000935,Huile d'olive vierge extra,France,,,,,41.481594348450855,L'Huile d'Olive,Non
3336599990024,Huile d'olive vierge extra,France,Occitanie,43.60402020000001,1.4773114,,56.422459196196584,Cauvin,Non
