Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
01535036,"Pates seches standard, crues",Italie,,41.87194,12.56738,-2.0,82.2903388999266,"Valpibio,Valpiform,Valpi Bio",Non
0200470016994,"Pates fraiches farcies (ex : raviolis, ravioles du Dauphine), au fromage, cuites",France,,,,,54.305546220831815,Super U,Non
0394300000007,"Pates seches standard, crues",France,,,,,73.1653388999266,saveurs des Truques,Non
0641243940359,"Pates seches standard, crues",France,Normandie,49.433968799999995,1.0775888,-1.0,58.165338899926596,Chef Toqué,Non
0641243940366,"Pates seches standard, crues",France,Normandie,49.433968799999995,1.0775888,-1.0,58.165338899926596,Chef Toqué,Non
1001124320004,"Pates seches standard, crues",Allemagne,,51.165691,10.451526,-1.0,73.1653388999266,Ikea,Non
12312334,"Pates seches standard, crues",France,,,,-3.0,67.2903388999266,Alpina,Non
2000000009436,"Pates seches standard, crues",Italie,,41.87194,12.56738,,58.165338899926596,Delfino,Non
2000000048929,"Pates, crevette, courgettes grillees, sauce basilic",France,,,,-2.0,,Picard,Non
2000000095939,Pates carbonara,France,,,,3.0,,SOGOOD,Non
2000000120342,"Pates fraiches farcies (ex : raviolis, ravioles du Dauphine), au fromage, crues",France,,,,17.0,54.305546220831815,Picard,Non
20003500,"Pates seches standard, crues",Italie,,41.87194,12.56738,0.0,58.165338899926596,"Combino,Lidl Stiftung & Co. KG",Non
20003517,"Pates seches standard, crues",Italie,,41.87194,12.56738,-3.0,58.165338899926596,"Combino,Lidl Stiftung & Co. KG",Non
20012212,"Pates seches standard, crues",Italie,,41.87194,12.56738,0.0,67.2903388999266,Combino,Non
20035730,"Pates seches standard, crues",Italie,,41.87194,12.56738,-4.0,58.165338899926596,Combino,Non
