Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
0051299160661,Riz Gluant Fermente,Taiwan,,23.69781,120.960515,5.0,,"Sans Marque,Paris Store,Senia 712",Non
01640458,"Riz thai ou basmati, cru",Italie,,41.87194,12.56738,0.0,88.61853818111022,Lidl,Oui
2000000080730,"Riz complet, cru",Italie,,41.87194,12.56738,,97.74353818111022,"Valpi bio,Valpi form",Non
20008727,"Riz blanc etuve, cru",Italie,,41.87194,12.56738,-1.0,67.6414500674384,The house of Rice,Non
20035174,"Riz blanc etuve, cru",Italie,,41.87194,12.56738,0.0,76.99782434986174,Golden sun,Non
20301897,"Riz blanc etuve, cru",Italie,,41.87194,12.56738,0.0,67.6414500674384,Golden Sun,Non
26019413,"Riz blanc, cru",Italie,,41.87194,12.56738,-1.0,58.5164500674384,"Bon-Ri,Aldi Einkauf GmbH & Compagnie-oHG",Non
26019628,"Riz thai ou basmati, cru",France,,,,0.0,58.5164500674384,"Bon ri,Bon-Ri,Aldi Einkauf GmbH & Compagnie-oHG",Non
3038359000492,"Riz thai ou basmati, cru",France,,,,-1.0,58.5164500674384,Lustucru,Non
3038359003400,"Riz blanc etuve, cru",France,,,,-1.0,67.6414500674384,Lustucru,Non
3038359007231,"Riz blanc, cru",Thailande,,15.870032,100.992541,0.0,58.5164500674384,Taureau ailé,Non
3039820230240,"Riz blanc etuve, cru",France,,,,,67.6414500674384,sans marque,Non
3222470004822,"Riz blanc etuve, cru",Italie,,41.87194,12.56738,0.0,58.5164500674384,Casino,Oui
3222472185338,"Riz blanc, cru",France,,,,-1.0,91.92658176175405,Casino,Oui
3222472563327,"Riz thai ou basmati, cru",Italie,,41.87194,12.56738,-1.0,67.6414500674384,Casino,Oui
3222476103178,Riz complet et quinoa rouge bio en doypack,France,,,,1.0,,"Casino Bio, Casino",Non
3222477013780,"Riz blanc etuve, cru",France,,,,0.0,58.5164500674384,Casino,Oui
3245390134592,"Riz blanc etuve, cru",Italie,,41.87194,12.56738,,58.5164500674384,Grand Jury,Non
3250390139577,"Riz blanc etuve, cru",France,,,,0.0,67.6414500674384,"Saint Eloi,Sélection des Mousquetaires,Les Mousquetaires",Non
3250390325512,"Riz blanc etuve, cru",France,,,,1.0,67.6414500674384,"Saint Eloi,Sélection des Mousquetaires,Les Mousquetaires",Non
3250390385578,"Riz blanc etuve, cru",France,,,,,67.6414500674384,Saint Eloi,Non
3250391011667,"Riz blanc etuve, cru",France,Occitanie,43.60402020000001,1.4773114,-1.0,86.98977386864392,"Regain Bio,Intermarché",Non
3250391372379,"Riz blanc etuve, cru",France,,,,0.0,67.6414500674384,Netto,Non
3256220071376,"Riz blanc etuve, cru",Italie,,41.87194,12.56738,-1.0,58.5164500674384,U,Oui
3256220071451,Riz basmati au curry micro-ondable 2 minutes,France,,,,0.0,,U,Oui
