Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
00031858,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,3.0,88.20476222247012,Liebig,Non
00616867,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,,79.07976222247012,Comme j'aime,Non
00816311,"Soupe aux legumes varies, preemballee a rechauffer",Royaume Uni,,55.378051,-3.435973,2.0,79.07976222247012,Marks & Spencer,Non
0087303860180,"Soupe asiatique, avec pates, preemballee a rechauffer",Chine,,35.86166,104.195397,,62.124676204483606,Sau Tao,Non
04838227,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,0.0,94.07976222247012,danival,Non
10927960,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,,88.20476222247012,Knorr,Non
112302650,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,1.0,79.07976222247012,liebig,Non
112302656,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,1.0,103.36489391678577,liebig,Non
112302708,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,1.0,88.20476222247012,Liebig,Non
112407493,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,0.0,79.07976222247012,liebig,Non
17600583,"Soupe de poissons et / ou crustaces, preemballee a rechauffer",France,,,,2.0,52.55504744915193,marmiton,Non
2000000031751,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,-2.0,84.40476222247013,"Les Printanières,Soup'idéale",Non
2000000031752,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,3.0,84.40476222247013,"Les Printanières,Soup'idéale",Non
2000000036939,"Soupe aux champignons, preemballee a rechauffer",France,,,,,82.37869982206595,"Neff,Mada",Non
2000000045380,"Soupe de poissons et / ou crustaces, preemballee a rechauffer",France,,,,,20.21991575483628,SRD,Non
2000000120835,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,0.0,95.98353933510532,Picard,Non
20330156,"Soupe de poissons et / ou crustaces, preemballee a rechauffer",France,,,,5.0,38.269915754836276,Deluxe,Non
20637200,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,2.0,85.27976222247013,Toque du chef,Non
20879433,Soupe froide type Gaspacho ou Gazpacho,Espagne,,40.463667,-3.74922,-2.0,80.68587773094583,Toque du Chef,Non
20930066,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,1.0,85.27976222247013,Toque du Chef,Non
26021133,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,3.0,84.40476222247013,"Les Printanières,Soup'idéale",Non
26021218,"Soupe de poissons et / ou crustaces, preemballee a rechauffer",France,Bretagne,48.1173421,-1.7075198,0.0,20.21991575483628,Les Doris,Non
26021508,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,3.0,84.40476222247013,"Les Printanières,Soup'idéale",Non
26021577,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,2.0,103.20476222247012,Les Printanières,Non
26021751,"Soupe aux legumes varies, preemballee a rechauffer",France,Bretagne,48.1173421,-1.7075198,2.0,88.20476222247012,Les printanieres,Non
26032634,"Soupe aux legumes varies, preemballee a rechauffer",France,,,,,79.07976222247012,"Les Printanières,Dulfrance",Non
