Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
01771053,"Thon, cru",France,Bretagne,48.1173421,-1.7075198,2.0,36.20301961108677,Petit Navire,Non
0200489034705,"Boeuf, steak ou bifteck, cru",France,,,,,-3.7456760270948166,Boucheries André,Non
0200489038246,"Boeuf, steak ou bifteck, cru",France,,,,,-3.7456760270948166,Boucheries André,Non
0200492022249,"Boeuf, steak ou bifteck, cru",France,,,,,-3.7456760270948166,Boucheries André,Non
0201201002583,"Boeuf, steak ou bifteck, cru",France,,,,0.0,30.53945566722084,Ferme Du Bas Bouchage,Non
0201721064948,"Poulet, viande et peau, cru",France,Centre-Val de Loire,47.84133,1.9326591,,62.899745979927445,"Leclerc,C'est d'ici",Non
0201736013184,"Boeuf, steak ou bifteck, cru",France,,,,,20.53945566722084,Leclerc,Non
0205116009385,"Boeuf, steak ou bifteck, cru",France,,,,,20.53945566722084,Auchan,Oui
0206799009457,"Boeuf, steak ou bifteck, cru",France,,,,,35.539455667220835,Auchan,Oui
0206799011153,"Boeuf, steak ou bifteck, cru",France,,,,,35.539455667220835,Auchan,Oui
0206937036086,"Jambon cuit, de Paris, decouenne degraisse",France,,,,12.0,52.20943704658643,André,Non
0206939020472,"Jambon cuit, de Paris, decouenne degraisse",France,,,,,52.20943704658643,boucherie André,Non
0206978078267,"Poulet, viande et peau, cru",France,,,,,62.61461428561179,monoprix,Non
02074128,"Oeuf, cru",France,,,,,68.95481468096989,brioches fonteneau,Non
0208706020203,"Boeuf, steak ou bifteck, cru",France,,,,,20.53945566722084,Leclerc,Non
0209363013126,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Netto,Non
0209367028348,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Netto,Non
0210609016405,Jambon cru de Pays,France,,,,20.0,,Aoste SNC,Non
0211660023425,"Boeuf, steak ou bifteck, cru",France,,,,,20.53945566722084,"Jean Rozé,Sélection Intermarché,Les Mousquetaires",Non
0211719015685,Jambon le torchonay,France,Bretagne,48.1173421,-1.7075198,11.0,,intermarché,Non
0211791031351,"Poulet, viande et peau, cru",France,,,,3.0,62.899745979927445,"Volaé,Intermarché",Non
0213329016403,"Poulet, viande et peau, cru",France,,,,-4.0,62.899745979927445,La Nouvelle Agriculture,Non
0213329017844,"Poulet, viande et peau, cru",France,,,,-4.0,72.89974597992745,La Nouvelle Agriculture,Non
0213329019152,"Poulet, viande et peau, cru",France,,,,-4.0,62.899745979927445,La Nouvelle Agriculture,Non
0213329019480,"Poulet, viande et peau, cru",France,,,,-4.0,62.899745979927445,La nouvelle agriculture,Non
0213329019749,"Poulet, viande et peau, cru",France,,,,-4.0,62.899745979927445,La Nouvelle Agriculture,Non
0213329022961,"Poulet, viande et peau, cru",France,,,,-4.0,62.899745979927445,La Nouvelle Agriculture,Non
0213400023610,"Poulet, viande et peau, cru",France,,,,-4.0,72.89974597992745,La Nouvelle Agriculture,Non
0213400025522,"Poulet, viande et peau, cru",France,,,,-4.0,62.899745979927445,la nouvelle agriculture,Non
0213402013510,"Poulet, viande et peau, cru",France,,,,0.0,48.61461428561179,La Nouvelle Agriculture,Non
0213402013787,"Poulet, viande et peau, cru",France,,,,0.0,62.899745979927445,La nouvelle agriculture,Non
02134400027885,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,La Nouvelle Agriculture,Non
0215144020931,"Poulet, viande et peau, cru",France,Pays de la Loire,47.2482829,-1.5439361,-3.0,62.656894662984286,Maître Coq,Non
0215212117747,"Poulet, viande et peau, cru",France,,,,,77.89974597992745,Maître Coq,Non
0215537024997,"Poulet, viande et peau, cru",France,,,,-1.0,62.899745979927445,Maître Coq,Non
0215711024867,"Poulet, viande et peau, cru",France,Pays de la Loire,47.2482829,-1.5439361,,62.899745979927445,maître coq,Non
0215752060220,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,"Sans marque,Maître Coq,Sélectionné par maître coq",Non
0217004056548,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Loué,Non
0217008053468,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Loué,Non
0217013080886,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Loué,Non
0217013081678,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Loué,Non
0217253021526,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,"Loué,Les fermiers de Loué",Non
0217268022501,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,"Leader Price,DLP (Distribution Leader Price),Groupe Casino",Non
0217513049857,"Poulet, viande et peau, cru",France,,,,-1.0,62.899745979927445,Le Gaulois,Non
0217553055306,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Guillet,Non
0217618027750,"Poulet, viande et peau, cru",France,,,,5.0,38.61461428561179,Leader Price,Non
0217637031950,"Poulet, viande et peau, cru",France,,,,5.0,62.899745979927445,Le Gaulois,Non
0217637034708,"Poulet, viande et peau, cru",France,Pays de la Loire,47.2482829,-1.5439361,5.0,62.899745979927445,Le Gaulois,Non
0219965020477,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219966017971,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219966021527,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219966022043,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219966023880,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219966033193,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219966035364,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219967023094,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219967030900,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219967036544,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219967042316,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219968027480,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219968033856,"Poulet, viande et peau, cru",France,,,,,38.61461428561179,Carrefour,Oui
0219968037786,"Poulet, viande et peau, cru",France,,,,,62.899745979927445,Carrefour,Oui
0219968041783,"Poulet, viande et peau, cru",France,Pays de la Loire,47.2482829,-1.5439361,,38.61461428561179,Carrefour,Oui
