Code Barre,Nom du Produit,Pays de Manufacture,Region de Manufacture,Latitude GPS,Longitude GPS,Nutriscore,Ecoscore,Marque,Marque de Distribution
00028264,Biscotte multicereale,Royaume Uni,,55.378051,-3.435973,9.0,84.0601283863637,Marks & Spencer,Non
0202851011482,"Pain de mie, courant",France,,,,,91.10782303038839,Carrefour,Oui
03992010,pain de mie nature sans gluten et sans lactose,France,,,,1.0,,Gerblé,Non
08503129,Biscotte complete ou riche en fibres,France,Occitanie,43.60402020000001,1.4773114,-4.0,123.34526008067935,le moulin du pivert,Non
11718253,Biscotte complete ou riche en fibres,France,Provence-Alpes-Côte d'Azur,43.305868,5.4018087,0.0,114.22026008067935,chabrior bio,Non
15643087,biscottes nature,France,,,,1.0,,la sélection des comptoirs,Non
2000000009438,Biscotte multicereale,France,Occitanie,43.60402020000001,1.4773114,,84.0601283863637,Clément,Non
2000000009452,Biscotte multicereale,France,Île-de-France,48.8585799,2.2847017000000003,,84.0601283863637,Prior,Non
2006050022229,"Pain de mie, courant",Allemagne,,51.165691,10.451526,3.0,66.82269133607274,Mannapain,Non
20712730,"Pain de mie, courant",France,,,,2.0,66.82269133607274,,Non
20712785,"Pain de mie, multicereale",France,,,,-1.0,94.06893505578053,Maître Jean Pierre,Non
2090000185898,"Pain de mie, courant",Pologne,,51.919438,19.145136,-2.0,66.82269133607274,Wiso,Non
22058187,"Pain de mie, courant",France,,,,4.0,81.82269133607274,Maître Jean Pierre,Non
26017136,"Pain de mie, sans croute, preemballe",France,,,,1.0,72.39073787559211,Mannapain,Non
26018058,"Pain de mie, courant",France,,,,4.0,66.82269133607274,Mannapain,Non
26025094,"Pain de mie, sans croute, preemballe",France,,,,5.0,72.39073787559211,Monnapain,Non
26071510,"Pain de mie, multicereale",France,,,,3.0,83.2571271626704,Mannapain,Non
26097114,Biscotte multicereale,France,,,,0.0,89.9351283863637,"Bon Et Bio,Aldi",Non
2698300694678,Biscotte multicereale,France,,,,,99.22026008067935,mondelez,Non
3017760363907,Biscotte multicereale,France,,,,6.0,74.0601283863637,"LU,MONDELEZ",Non
3017760363969,Biscotte complete ou riche en fibres,France,Grand Est,48.586321999999996,7.7170649000000004,,108.34526008067935,heudebert,Non
3017760757980,Biscotte multicereale,France,,,,,84.0601283863637,heudebert,Non
3017760771894,Biscotte multicereale,France,Normandie,49.433968799999995,1.0775888,13.0,99.22026008067935,"Heudebert,Mondelez",Non
3029330001010,"Pain de mie, courant",France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,0.0,91.10782303038839,jacquet,Non
3029330001829,"Pain de mie, courant",France,,,,0.0,66.82269133607274,"L original,Jacquet",Non
3029330003038,"Pain de mie, courant",France,,,,,66.82269133607274,"DLP (Distribution Leader Price),Groupe Casino",Non
3029330003533,"Pain de mie, complet",France,,,,-1.0,91.10782303038839,Jacquet,Non
3029330003663,"Pain de mie, courant",France,,,,1.0,66.82269133607274,Jacquet,Non
3029330005773,Biscotte multicereale,France,,,,9.0,108.34526008067935,Jacquet,Non
3029330022411,"Pain de mie, courant",France,,,,-1.0,91.10782303038839,Jacquet,Non
3029330031024,"Pain de mie, sans croute, preemballe",France,,,,0.0,72.39073787559211,Jacquet,Non
3029330063346,"Pain de mie, complet",France,,,,-1.0,91.10782303038839,Jacquet,Non
3029330063360,"Pain de mie, complet",France,,,,-2.0,66.82269133607274,Jacquet,Non
3029330063377,"Pain de mie brioche, preemballe",France,,,,1.0,88.48828509045204,Jacquet,Non
3029330066965,"Pain de mie, sans croute, preemballe",France,,,,2.0,72.39073787559211,Jacquet,Non
3029330067047,"Pain de mie, multicereale",France,,,,-4.0,94.06893505578053,Jacquet,Non
3029330068518,"Pain de mie, courant",France,,,,-2.0,91.10782303038839,Jacquet,Non
3029330068549,"Pain de mie, sans croute, preemballe",France,,,,1.0,96.67586956990776,Jacquet,Non
3029330068754,"Pain de mie brioche, preemballe",France,,,,3.0,64.20315339613639,Jacquet,Non
3029330069904,"Pain de mie, courant",France,Auvergne-Rhône-Alpes,45.7304251,4.8399377999999995,,66.82269133607274,jacquet,Non
3029330069911,"Pain de mie, courant",France,,,,-1.0,91.10782303038839,Jacquet,Non
3174503433423,Biscotte complete ou riche en fibres,Espagne,,40.463667,-3.74922,-5.0,114.22026008067935,Borsa,Non
3175681179530,Biscotte classique,Italie,,41.87194,12.56738,12.0,74.9351283863637,Gerblé,Non
3175681185388,"Pain de mie, courant",France,,,,0.0,66.82269133607274,"Gerblé sans gluten,Gerblé",Non
3175681231252,"Pain de mie, multicereale",France,,,,0.0,69.78380336146488,Gerblé,Non
3182180032518,Biscotte multicereale,France,,,,10.0,89.22026008067935,"Brioche Pasquier,Pasquier",Non
3182180033263,Biscotte multicereale,France,,,,15.0,108.34526008067935,"Brioche Pasquier,Pasquier",Non
3222471854112,"Pain de mie, complet",France,,,,-2.0,75.82269133607274,Casino,Oui
3222471854129,"Pain de mie, courant",France,,,,1.0,66.82269133607274,Casino,Oui
3222471975732,"Pain de mie, courant",France,,,,0.0,66.82269133607274,Casino,Oui
3222472558262,"Pain de mie, complet",France,,,,-2.0,66.82269133607274,Casino,Oui
