Nom Ville,MAJ,Code Postal,Code INSEE,Latitude,Longitude,Eloignement,Departement
Aast,AAST,64460,64001,43.283333,-0.083333,1.73,7
Abainville,ABAINVILLE,55130,55001,48.533333,5.5,1.94,53
Abancourt,ABANCOURT,59265,59001,50.233333,3.216667,1.19,64
Abancourt,ABANCOURT,60220,60001,49.7,1.766667,1.98,77
Abaucourt,ABAUCOURT,54610,54001,48.9,6.25,0.47,52
Abbans-Dessous,ABBANS DESSOUS,25320,25001,47.133333,5.883333,1.8,32
Abbans-Dessus,ABBANS DESSUS,25440,25002,47.116667,5.883333,1.8,32
Abbaretz,ABBARETZ,44170,44001,47.55,-1.533333,1.46,71
Abbecourt,ABBECOURT,60430,60002,49.366667,2.15,0.77,77
Abbécourt,ABBECOURT,02300,02001,49.6,3.183333,1.5,76
Abbenans,ABBENANS,25340,25003,47.5,6.45,1.82,32
Abbeville,ABBEVILLE,80100,80001,50.1,1.833333,1.23,78
Abbéville-la-Rivière,ABBEVILLE LA RIVIERE,91150,91001,48.35,2.166667,2.08,37
Abbéville-lès-Conflans,ABBEVILLE LES CONFLANS,54800,54002,49.2,5.85,1.54,52
Abbévillers,ABBEVILLERS,25310,25004,47.433333,6.916667,2.06,32
Abbeville-Saint-Lucien,ABBEVILLE SAINT LUCIEN,60480,60003,49.516667,2.166667,0.97,77
Abeilhan,ABEILHAN,34290,34001,43.45,3.3,0.99,46
Abelcourt,ABELCOURT,70300,70001,47.783333,6.3,1.14,34
Abère,ABERE,64160,64002,43.383333,-0.166667,1.49,7
Abergement-la-Ronce,ABERGEMENT LA RONCE,39500,39001,47.066667,5.383333,1.78,33
Abergement-le-Grand,ABERGEMENT LE GRAND,39600,39002,46.916667,5.683333,1.17,33
Abergement-le-Petit,ABERGEMENT LE PETIT,39800,39003,46.9,5.7,0.8,33
Abergement-lès-Thésy,ABERGEMENT LES THESY,39110,39004,46.916667,5.933333,1.65,33
Abergement-Saint-Jean,ABERGEMENT SAINT JEAN,39120,39005,46.883333,5.366667,1.89,33
Abidos,ABIDOS,64150,64003,43.4,-0.616667,0.67,7
Abitain,ABITAIN,64390,64004,43.416667,-0.983333,1.47,7
Ablain-Saint-Nazaire,ABLAIN SAINT NAZAIRE,62153,62001,50.383333,2.716667,1.1,65
Ablainzevelle,ABLAINZEVELLE,62116,62002,50.15,2.733333,1.81,65
Ablancourt,ABLANCOURT,51240,51001,48.816667,4.533333,0.98,28
Ableiges,ABLEIGES,95450,95002,49.083333,1.983333,1.53,42
Ablis,ABLIS,78660,78003,48.516667,1.841667,-1,43
Ablon,ABLON,14600,14001,49.4,0.3,2.19,66
Ablon-sur-Seine,ABLON SUR SEINE,94480,94001,48.716667,2.416667,2,41
Aboën,ABOEN,42380,42001,45.416667,4.133333,1.4,93
Aboncourt,ABONCOURT,54115,54003,48.358333,5.966667,-1,52
Aboncourt,ABONCOURT,57920,57001,49.266667,6.35,1.26,54
Aboncourt-sur-Seille,ABONCOURT SUR SEILLE,57590,57002,48.816667,6.35,1.49,54
Abondance,ABONDANCE,74360,74001,46.283333,6.733333,1.93,96
Abondant,ABONDANT,28570,28001,48.783333,1.433333,1.97,21
Abos,ABOS,64360,64005,43.35,-0.566667,0.72,7
Abreschviller,ABRESCHVILLER,57560,57003,48.633333,7.1,2.41,54
Abrest,ABREST,03200,03001,46.1,3.433333,1.76,8
Abriès,ABRIES,05460,05001,44.783333,6.933333,2.69,84
Abscon,ABSCON,59215,59002,50.333333,3.3,0.41,64
Abzac,ABZAC,16500,16001,46.1,0.7,2.48,79
Abzac,ABZAC,33230,33001,45.016667,-0.133333,1.03,4
Accolans,ACCOLANS,25250,25005,47.5,6.533333,1.7,32
Accolay,ACCOLAY,89460,89001,47.666667,3.716667,1.66,15
Accons,ACCONS,07160,07001,44.9,4.383333,0.71,90
Accous,ACCOUS,64490,64006,42.983333,-0.6,2.88,7
Achain,ACHAIN,57340,57004,48.916667,6.583333,0.77,54
Achen,ACHEN,57410,57006,49.05,7.183333,1.78,54
Achenheim,ACHENHEIM,67204,67001,48.583333,7.633333,0.5,1
Achères,ACHERES,18250,18001,47.283333,2.466667,1.62,20
Achères,ACHERES,78260,78005,48.966667,2.066667,1.45,43
Achères-la-Forêt,ACHERES LA FORET,77760,77001,48.35,2.566667,1.68,40
Achery,ACHERY,02800,02002,49.683333,3.383333,0.63,76
Acheux-en-Amiénois,ACHEUX EN AMIENOIS,80560,80003,50.066667,2.533333,0.95,78
Acheux-en-Vimeu,ACHEUX EN VIMEU,80210,80004,50.066667,1.683333,1.62,78
Acheville,ACHEVILLE,62320,62003,50.383333,2.883333,1.67,65
Achey,ACHEY,70180,70003,47.566667,5.6,1.78,34
Achicourt,ACHICOURT,62217,62004,50.266667,2.766667,1.24,65
Achiet-le-Grand,ACHIET LE GRAND,62121,62005,50.133333,2.783333,1.91,65
Achiet-le-Petit,ACHIET LE PETIT,62121,62006,50.116667,2.75,2.01,65
Achun,ACHUN,58110,58001,47.116667,3.666667,0.8,13
Achy,ACHY,60690,60004,49.566667,1.95,1.34,77
Acigné,ACIGNE,35690,35001,48.133333,-1.533333,0.39,18
Aclou,ACLOU,27800,27001,49.166667,0.7,1,69
Acon,ACON,27570,27002,48.766667,1.1,2.45,69
Acq,ACQ,62144,62007,50.35,2.65,0.91,65
Acqueville,ACQUEVILLE,50440,50001,49.608333,-1.75,-1,67
Acquigny,ACQUIGNY,27400,27003,49.166667,1.183333,0.84,69
Acy,ACY,02200,02003,49.35,3.416667,1.65,76
Acy-en-Multien,ACY EN MULTIEN,60620,60005,49.1,2.966667,2.36,77
Acy-Romance,ACY ROMANCE,08300,08001,49.5,4.333333,1.39,26
Adaincourt,ADAINCOURT,57580,57007,49,6.433333,0.56,54
Adainville,ADAINVILLE,78113,78006,48.716667,1.65,1.31,43
Adam-lès-Passavant,ADAM LES PASSAVANT,25360,25006,47.3,6.366667,0.88,32
Adam-lès-Vercel,ADAM LES VERCEL,25530,25007,47.166667,6.4,1.55,32
Adamswiller,ADAMSWILLER,67320,67002,48.9,7.2,1.78,1
Adast,ADAST,65260,65001,42.966667,-0.083333,1.7,61
Adé,ADE,65100,65002,43.133333,-0.033333,1.41,61
Adelange,ADELANGE,57380,57008,49,6.616667,0.69,54
Adilly,ADILLY,79200,79002,46.683333,-0.316667,1.22,81
Adinfer,ADINFER,62116,62009,50.183333,2.7,1.62,65
Adissan,ADISSAN,34230,34002,43.533333,3.433333,1.85,46
Adon,ADON,45230,45001,47.766667,2.8,1.48,25
Adriers,ADRIERS,86430,86001,46.25,0.8,1.74,82
Afa,AFA,20167,20001,41.983333,8.8,1.71,30
Affieux,AFFIEUX,19260,19001,45.516667,1.75,1.22,49
Affléville,AFFLEVILLE,54800,54004,49.266667,5.766667,1.96,52
Affoux,AFFOUX,69170,69001,45.833333,4.4,1.94,94
Affracourt,AFFRACOURT,54740,54005,48.466667,6.166667,1.2,52
Affringues,AFFRINGUES,62380,62010,50.683333,2.066667,1.29,65
Agassac,AGASSAC,31230,31001,43.366667,0.883333,0.73,58
Agay,AGAY,83530,83920,43.433333,6.85,2.42,87
Agde,AGDE,34300,34003,43.316667,3.466667,1.98,46
Agel,AGEL,34210,34004,43.333333,2.85,1.87,46
Agen,AGEN,47000,47001,44.2,0.633333,1.25,6
Agencourt,AGENCOURT,21700,21001,47.133333,4.983333,1.18,12
Agen-d'Aveyron,AGEN D AVEYRON,12630,12001,44.366667,2.683333,1,57
Agenville,AGENVILLE,80370,80005,50.166667,2.1,1.69,78
Agenvillers,AGENVILLERS,80150,80006,50.166667,1.916667,1.69,78
Ageville,AGEVILLE,52340,52001,48.116667,5.35,0.67,29
Agey,AGEY,21410,21002,47.283333,4.766667,0.56,12
Aghione,AGHIONE,20270,20002,42.1,9.4,1.45,31
Agincourt,AGINCOURT,54770,54006,48.733333,6.233333,1.75,52
Agmé,AGME,47350,47002,44.483333,0.333333,1.18,6
Agnac,AGNAC,47800,47003,44.65,0.366667,1.69,6
Agnat,AGNAT,43100,43001,45.35,3.466667,1.61,10
Agneaux,AGNEAUX,50180,50002,49.116667,-1.1,1.33,67
Agnetz,AGNETZ,60600,60007,49.383333,2.383333,1.52,77
Agnez-lès-Duisans,AGNEZ LES DUISANS,62161,62011,50.3,2.666667,1.45,65
Agnicourt-et-Séchelles,AGNICOURT ET SECHELLES,02340,02004,49.716667,3.95,1.84,76
Agnières,AGNIERES,62690,62012,50.35,2.6,0.76,65
Agnières,AGNIERES,80290,80007,49.716667,1.9,1.63,78
Agnières-en-Dévoluy,AGNIERES EN DEVOLUY,05250,05002,44.7,5.883333,0.86,84
Agnin,AGNIN,38150,38003,45.333333,4.866667,2.26,92
Agnos,AGNOS,64400,64007,43.166667,-0.616667,1.34,7
Agny,AGNY,62217,62013,50.266667,2.766667,1.24,65
Agonac,AGONAC,24460,24002,45.283333,0.75,1,3
Agon-Coutainville,AGON COUTAINVILLE,50230,50003,49.041667,-1.575,1.27,67
Agonès,AGONES,34190,34005,43.916667,3.75,2.49,46
Agonges,AGONGES,03210,03002,46.6,3.15,1.68,8
Agonnay,AGONNAY,17350,17001,45.883333,-0.733333,1.56,80
Agos-Vidalos,AGOS VIDALOS,65400,65004,43.033333,-0.066667,1.6,61
Agris,AGRIS,16110,16003,45.783333,0.333333,1.06,79
Agudelle,AGUDELLE,17500,17002,45.383333,-0.466667,1.61,80
Aguessac,AGUESSAC,12520,12002,44.15,3.1,1.65,57
Aguilcourt,AGUILCOURT,02190,02005,49.4,3.966667,1.92,76
Aguts,AGUTS,81470,81001,43.533333,1.916667,1.53,62
Agy,AGY,14400,14003,49.25,-0.766667,1.25,66
Ahaxe-Alciette-Bascassan,AHAXE ALCIETTE BASCASSAN,64220,64008,43.15,-1.166667,1.48,7
Ahetze,AHETZE,64210,64009,43.4,-1.566667,2.64,7
Ahéville,AHEVILLE,88500,88002,48.283333,6.2,1.55,55
Ahuillé,AHUILLE,53940,53001,48.016667,-0.883333,1,73
Ahun,AHUN,23150,23001,46.083333,2.05,0.59,50
Ahuy,AHUY,21121,21003,47.366667,5.033333,1.38,12
Aibes,AIBES,59149,59003,50.233333,4.1,2.17,64
Aibre,AIBRE,25750,25008,47.55,6.7,2.01,32
Aiffres,AIFFRES,79230,79003,46.283333,-0.416667,1.48,81
Aigaliers,AIGALIERS,30700,30001,44.066667,4.316667,1.49,45
Aiglemont,AIGLEMONT,08090,08003,49.783333,4.783333,2.1,26
Aiglepierre,AIGLEPIERRE,39110,39006,46.95,5.816667,1.67,33
